Entrez_ID,Gene,mouse_scBAT_count,mouse_iBAT_counts,mouse_WAT_count,BAT1_int_Wu,BAT2_int_Wu,BAT3_int_Wu,beige1_int_Wu,beige2_int_Wu,beige3_int_Wu,Human_Genbank_Accession,Human_Gene,Human_scBAT_FPKM,Human_WAT_FPKM,MouseSCBATvsWAT_LR,MouseSCBATvsWAT_PV
13371,Dio2,2491.3333,2105,29.3333,290.4733,53.3333,48.94,36.3133,60.5567,51.3967,NM_013989,DIO2,4.47,0.07,1,4.87e-58
19017,Ppargc1a,1484,1749,242.6667,702.764,317.754,214.162,431.54,160.826,618.952,NM_013261,PPARGC1A,15.66,3.15,1,1.6e-18
22227,Ucp1,32342,34517.6667,581,113.14,66.96,57.21,143.45,74.83,170.82,NM_021833,UCP1,2.87,0.68,1,2.53e-52
238257,Tmem30b,33,6,6.3333,19.47,6.53,4.35,15.6,5.42,12.84,NM_001017970,TMEM30B,8.41,0.17,1,0.00198
14863,Gstm2,1203,1111.3333,1938,3791.19,3929.98,4666.11,4063.25,5710.43,5868.61,NM_000561,GSTM1,16.51,0.39,0,0.93223
72301,1810041L15Rik,0.66667,0,9.6667,18.08,21.37,27.56,29.5,21.755,13.965,NM_001099294,KIAA1644,2.66,0.07,0,0.028169
13602,Sparcl1,5676.3333,6043.3333,6534,122.35,266.96,375.97,249.93,86.83,301.36,NM_004684,SPARCL1,46.84,1.57,1,0.20497
217951,Tmem196,0,0,0.66667,6.83,1.79,1.37,1.7,3.76,5.23,NM_152774,TMEM196,3.94,0.15,0,1
13393,Dlx3,0,0,0.33333,23.375,16.14,23,15.89,8.28,8.705,NM_005220,DLX3,6.65,0.3,0,1
20377,Sfrp1,104.6667,89.3333,218,905.738,471.752,481.372,538.268,1223.362,1211.232,NM_003012,SFRP1,21.41,1.35,0,0.38197
13076,Cyp1a1,189.3333,240.6667,52,49.88,21.15,29.53,36.05,73.73,41.38,NM_000499,CYP1A1,5.55,0.44,1,6.96e-05
29818,Hspb7,124,66.3333,41,186.8567,115.15,236.38,26.7733,58.9033,35.02,NM_014424,HSPB7,85.49,6.85,1,2.48e-05
17130,Smad6,576.3333,613.3333,352.3333,423.73,309,632.01,277.88,611.39,478.31,NM_001142861,SMAD6,25.46,2.09,1,0.00030437
12845,Comp,4,2.3333,59.3333,34.54,48.75,31.82,102.02,32.14,13.07,NM_000095,COMP,3.69,0.3,0,2.02e-06
64085,Clstn2,25.3333,18,266.3333,14.84,14.125,12.865,24.705,30.43,60.33,NM_022131,CLSTN2,3.12,0.26,0,2.42e-05
17313,Mgp,679.3333,910.6667,549.6667,3819.24,324.5,139.43,50.19,53.26,219.96,NM_000900,MGP,523.67,45.68,1,0.0023855
69642,Mlip,19.6667,10.3333,27.6667,12.05,16.46,10.215,6.815,13.265,6.51,NM_138569,MLIP,24.39,2.33,1,0.79292
19223,Ptgis,123.6667,64.6667,125,944.89,1155.29,1038.61,1140.94,1526.94,1055.79,NM_000961,PTGIS,8.75,1.01,1,0.31184
68797,Pdgfrl,17,23.6667,89.3333,1300.47,638.69,1151.81,875.47,884.31,1413.66,NM_006207,PDGFRL,11.28,1.33,0,0.0022899
56198,Heyl,697.6667,818.6667,298.6667,64.3367,44.2633,52.86,31.0933,72.0933,46.79,NM_014571,HEYL,5.68,0.68,1,1.27e-05
15902,Id2,966.6667,1187.6667,1366.3333,868.1133,869.1033,628.2333,2524.81,1026.8067,694,NM_002166,ID2,73.63,9.37,1,0.45681
71093,Atoh8,195.3333,197.3333,162,13.68,25.07,25.16,10.96,45.96,69.1,NM_032827,ATOH8,10.88,1.49,1,0.057008
231440,Parm1,3211,2839.3333,716.3333,318.285,305.04,621.47,380.3,173.265,190.1,NM_015393,PARM1,22.31,3.12,1,1.43e-14
268709,Fam107a,111,103.3333,287.6667,6.22,7.2367,11.6267,10.88,16.6933,14.0033,NM_001076778,FAM107A,5.3,0.75,0,0.17617
19128,Pros1,672,594,1862.6667,916.68,1303.91,985.98,823.55,887.73,1491.79,NM_000313,PROS1,94.28,13.81,0,0.013997
14370,Fzd8,173,198,153.3333,92.255,88.335,152.455,82.895,67.51,50.525,NM_031866,FZD8,8.82,1.33,1,0.075735
226866,Sbspon,13,13.3333,41.6667,4.145,7.225,10.405,7.22,13.15,9.065,NM_153225,SBSPON,1.5,0.23,0,0.13359
15903,Id3,1034,1088.3333,2163.3333,3575.62,2535.21,2144.72,2228.72,3773.97,2608.33,NM_002167,ID3,95.2,14.67,0,0.23398
13723,Emb,35.6667,28,1412,1273.995,1417.845,1061.77,334.09,323.075,1031.56,NM_198449,EMB,10.22,1.6,0,1.48e-15
70713,Gpr137c,26.3333,26.6667,31,6.29,6.67,5.53,1.88,8.93,7.04,NM_001099652,GPR137C,3.25,0.53,1,0.33077
13078,Cyp1b1,154,127,1387.3333,809.52,759.2267,1249.5167,617.7833,585.4,829.3267,NM_000104,CYP1B1,122.7,20.18,0,1.8e-10
233744,Spon1,85,96.3333,396.3333,44.16,167.7875,178.72,27.155,94.0375,82.1325,NM_006108,SPON1,5.57,0.95,0,0.00059013
214547,She,473,552.6667,621.6667,8.035,8.115,10.425,11.61,12.175,6.42,NM_001010846,SHE,4.01,0.69,1,0.41152
15901,Id1,1235.6667,1146.3333,833.6667,1948.77,694.78,1677.36,1999.77,2204.36,2152.72,NM_002165,ID1,139.9,24.13,1,0.002435
21923,Tnc,386,450.3333,933.6667,3497.425,3848.93,3307.69,1237.065,3281.46,1633.255,NM_002160,TNC,49.25,8.57,0,0.1239
109205,Sobp,22.6667,17,27.6667,14.82,17.11,17.39,15.01,19.76,13.38,NM_018013,SOBP,3.61,0.65,1,0.53008
20613,Snai1,26.6667,23.6667,75.3333,179.29,215.04,185.33,237.89,263.37,342.55,NM_005985,SNAI1,9.39,1.74,0,0.094649
67888,Tmem100,128.6667,46.3333,188,187.055,18.245,51.625,22.825,58.26,170.705,NM_018286,TMEM100,17.36,3.28,1,0.91605
232533,Stk38l,1154.3333,1158.6667,801,180.6267,132.84,179.4467,155.69,193.5233,146.4967,NM_015000,STK38L,16.57,3.17,1,7.09e-05
241226,Itga8,54.3333,59,69.6667,34.085,21.065,27.305,18.13,14.495,27.41,NM_003638,ITGA8,4.75,0.92,1,0.41898
232174,Cyp26b1,51.6667,58.3333,358,249.49,315.12,463.14,52.68,116.82,300.88,NM_019885,CYP26B1,34.33,6.67,0,2.46e-05
70717,Medag,247.3333,155,992.3333,2099.99,3564.36,4927.53,2361.235,1814.6,2756.245,NM_032849,MEDAG,97.12,20.67,0,0.0031299
13610,S1pr3,266,221.3333,926.3333,1372.4867,1463.5833,2651.39,2273.39,2244.9267,2452.62,NM_005226,S1PR3,36.2,7.77,0,0.0097968
21859,Timp3,8463,9221.3333,11406.3333,902.0525,121.91,69.525,60.2125,81.91,547.0075,NM_000362,TIMP3,370.37,79.68,1,0.52754
14633,Gli2,33.6667,16.3333,197.6667,185.89,198.045,193.895,227.815,211.835,379.595,NM_005270,GLI2,6.59,1.48,0,0.00031718
232431,Gprc5a,13.3333,17.6667,17.3333,213.28,106.44,185.85,286.47,276.28,143.87,NM_003979,GPRC5A,12.88,2.95,1,0.61435
16773,Lama2,849.6667,522,1791,86.62,90.07,137.98,25.09,44.7,50.82,NM_000426,LAMA2,41.57,9.56,0,0.31987
211712,Pcdh9,7,3,11,94.0167,66.8133,123.92,129.13,83.19,54.0133,NM_020403,PCDH9,4.25,0.99,1,1
67937,Tmem59l,0.66667,0,0.33333,51.98,44.87,31,54.46,47.01,33.76,NM_012109,TMEM59L,15.01,3.69,1,1
15505,Hsph1,1022.3333,1183,1426.6667,3997.79,5536.72,6661.76,6515.645,3288.755,3967.7,NM_006644,HSPH1,58.95,14.66,1,0.36961
433938,Mn1,69.3333,58,73.3333,144.55,69.78,299.62,91.14,67.42,33.28,NM_002430,MN1,4.28,1.07,1,0.21611
20471,Six1,445,539,414.3333,483.23,247.95,433.63,432.32,280.37,445.97,NM_005982,SIX1,24.67,6.26,1,0.094996
21826,Thbs2,171.3333,114.3333,1616.3333,2847.2733,3896.11,3477.16,5167.9333,5713.4867,5942.6167,NM_003247,THBS2,131.66,33.47,0,2.88e-10
14451,Gas1,723,900.6667,490.3333,1288.5367,2411.8,868.6833,1630.86,907.3033,3435.4033,NM_002048,GAS1,40.49,10.34,1,0.001514
99480,Dnttip2,793.6667,747.6667,1585.6667,667.775,551.535,581.405,779.165,212.14,623.73,NM_014597,DNTTIP2,22.85,5.87,0,0.41864
18162,Npr3,2484.3333,2340.3333,13785,204.48,73.4067,41.2133,86.22,30.71,81.3533,NM_001204376,NPR3,21.13,5.65,0,4.48e-05
