Entrez_ID	Gene	mouse_scBAT_count	mouse_iBAT_counts	mouse_WAT_count	BAT1_int_Wu	BAT2_int_Wu	BAT3_int_Wu	beige1_int_Wu	beige2_int_Wu	beige3_int_Wu	Human_scBAT_FPKM	Human_WAT_FPKM
13371	Dio2	2491.3333	2105	29.3333	290.4733	53.3333	48.94	36.3133	60.5567	51.3967	4.47	0.07
13371	Dio2	2491.3333	2105	29.3333	290.4733	53.3333	48.94	36.3133	60.5567	51.3967	3.87	0.05
13371	Dio2	2491.3333	2105	29.3333	290.4733	53.3333	48.94	36.3133	60.5567	51.3967	0.95	0
22227	Ucp1	32342	34517.6667	581	113.14	66.96	57.21	143.45	74.83	170.82	2.87	0.68
14077	Fabp3	2645.6667	3529	73.6667	30.48	35.14	36.445	33.385	35.145	22.67	327.38	114.25
75735	Pank1	7664	9102	587	77.135	59.4075	55.06	50.0175	53.795	83.1175	0.96	0.44
21957	Tnnt3	5615.3333	1697	186.3333	4.39	13.63	7.3	25.11	15.55	16.51	1.25	0.34
21957	Tnnt3	5615.3333	1697	186.3333	4.39	13.63	7.3	25.11	15.55	16.51	2.33	0
170826	Ppargc1b	1742.3333	2045	262	582.83	465.4	567.26	461.23	147.15	373.58	1.18	0.5
23917	Impdh1	15361	18157.6667	2535.6667	798.01	1064.02	935.6	928.47	1067.2	671.87	3.44	1.38
26458	Slc27a2	4514.6667	5936.3333	172.3333	14.59	13.42	6.3	12	2.2	7.19	2.65	0.16
68738	Acss1	8162.6667	8373.3333	1672.3333	9.14	10.0267	9.85	11.24	12.5667	5.8667	2.49	0.9
19309	Pygm	2506.3333	740	182.3333	20.93	13.72	27.2	34.66	33.32	26.78	1.19	0.1
53857	Tuba8	1618	1465.3333	229	36.4	53.035	39.995	53.645	38.87	49.335	1.51	0.42
19017	Ppargc1a	1484	1749	242.6667	702.764	317.754	214.162	431.54	160.826	618.952	15.66	3.15
328234	Rnf182	109	199.6667	5	19.095	16.32	18.69	31.74	23.46	23.18	1.54	0.52
11464	Actc1	239.3333	33	10.6667	9.87	11.47	10.92	5.25	6.96	8.07	2.75	0.31
238871	Pde4d	3664.6667	3527	895	679.435	530.58	526.275	403.52	424.905	623.01	1.82	0.53
238871	Pde4d	3664.6667	3527	895	679.435	530.58	526.275	403.52	424.905	623.01	1.49	0.47
22004	Tpm2	3015.3333	1260.3333	468.3333	871.62	942.49	915.3925	1299.8125	1399.28	1367.65	35.37	12.22
20916	Sucla2	26164	27177	4670	1352.43	774.6767	606.48	830.5967	475.7367	1019.2367	42.24	16.83
19735	Rgs2	4274.6667	4394.6667	1177.3333	2006.7675	3135.55	4810.58	1116.795	2116.0875	3724.3475	35.48	13.11
18642	Pfkm	3940.3333	3373.6667	878.6667	374.45	349.91	453.8	300.55	415.57	382.81	0.75	0.28
