Entrez_ID,Gene,scBAT_counts,iBAT_counts,WAT_counts,BAT1_int_Wu,BAT2_int_Wu,BAT3_int_Wu,beige1_int_Wu,beige2_int_Wu,beige3_int_Wu
11287,Pzp,2.3333,3.6667,1,1.73,11.52,7.26,4.38,1.16,10.63
11298,Aanat,0.66667,1.3333,1.3333,11.52,8.23,1,7.54,5.81,5.14
11302,Aatk,461,348,716.3333,29.31,13.57,21.5,37.96,22.4,28.54
11303,Abca1,6511.3333,4455,10540.6667,924.8833,638.94,750.9133,739.7733,479.3433,1505.9733
11304,Abca4,12,8,19.6667,20.62,11.1,11.66,8.23,29.62,9.65
11305,Abca2,3553.6667,3734,3423.3333,45.61,34.98,38.34,24.03,36.72,40.68
11306,Abcb7,906.3333,820.6667,1280,149.72,119.31,70.71,109.82,91.9767,141.9
11307,Abcg1,354,285,2809.3333,172.065,438.355,505.72,141.46,145.83,272.655
11308,Abi1,1042,982,3041.3333,746.745,1118.69,1077.0075,822.28,682.245,878.7075
11350,Abl1,1437,1396.6667,2962.3333,291.56,323.2667,563.2733,439.9733,419.3733,350.51
11352,Abl2,729.3333,770,1882,269.8333,245.7367,273.0267,295.9767,159.4667,173.2433
11354,Scgb1b27,1551,42.3333,2,2.69,4.83,2.37,1.85,7.1,4.17
11363,Acadl,37778.6667,38401.6667,9527.3333,1696.155,2120.39,1402.485,1511.44,1071.505,1523.8
11364,Acadm,31336,32345,9465,5398.61,4591.46,1681.87,2500.04,1876.18,4790.85
11370,Acadvl,44419,45729.6667,8681.3333,2972.77,1395.36,1587.07,1594.92,2021.19,1880.08
11409,Acads,10341.6667,10970,3927.6667,269.03,176.18,147.32,281.71,289.23,284.67
11416,Slc33a1,1208.6667,1093.6667,1212.6667,589.03,464.3,369.35,317.24,262.98,541.2
11418,Asic2,0,0,12,8.48,9.99,1.93,13,27.16,16.02
11419,Asic1,267.6667,280.3333,292,10.21,5.21,4.39,13.27,3.58,4.17
11421,Ace,1015.3333,619,2699,203.985,171.03,101.67,111.99,142.055,138.285
11423,Ache,29,16.6667,49.3333,50.49,35.11,52.96,23.19,53.24,80.15
11425,Apoc4,1.3333,1.6667,7,132.74,351.85,95.49,131.84,102.55,163.27
11426,Macf1,9837.3333,10215,25071.3333,790.6833,510.7733,636.96,567.5867,489.8833,414.57
11428,Aco1,8222,6944,7286.3333,1329.6533,1135.3233,678.73,1443.13,944.8433,1475.61
11429,Aco2,94832.3333,93875.6667,17043.3333,5369.09,3350.635,2508.31,3011.18,2725.125,4727
11430,Acox1,19101,15456.6667,17579,2256.4367,1638.8667,1492.26,1341.8567,1371.5733,2467.8333
11431,Acp1,1260.3333,1180.6667,1213,1012.8433,790.2767,1181.1083,1002.4117,648.42,1167.2167
11432,Acp2,1047.6667,877.3333,1773,165.2367,307.2467,225.6267,210.0133,214.8767,269.5933
11433,Acp5,4184.3333,3341.3333,10970.3333,108.62,104.14,69.45,35.66,54.55,186.46
11434,Acr,11,12.6667,9.6667,17.26,16.02,8.96,9.9,10.61,3.9
11435,Chrna1,7.6667,3.6667,2.3333,34.15,21.87,7.57,21.87,32.32,35.46
11438,Chrna4,0.33333,0.33333,1.3333,27.8233,35.71,23.9933,23.15,34.9867,30.11
11440,Chrna6,0,0,0,22.02,25.465,20.955,33.245,29.815,23.125
11441,Chrna7,0,0.66667,0.66667,36.71,25.415,24.62,27.805,44.265,27.615
11443,Chrnb1,112.3333,127,258.3333,27.56,19.18,30.53,10.86,15.24,14.55
11444,Chrnb2,245.6667,232.6667,144,36.41,34.9267,38.53,32.59,45.96,40.17
11447,Chrnd,1.3333,0,0,1,2.35,10,11.33,1.03,8.39
11448,Chrne,3.3333,3.6667,7.6667,1.14,4.24,6,3.73,8.99,6.17
11449,Chrng,0,0,0,3.24,5.82,2.5333,2.4033,2.0467,2.9667
11450,Adipoq,19125,17605.3333,32648.6667,15526.33,12126.44,6459.2,11626.39,12720.17,17857.89
11451,Acrv1,0.33333,0,0,19.8,17.52,12.22,20.54,14.18,10.75
11459,Acta1,7958.3333,2582.6667,539.6667,12.66,17.72,18.47,24.6,22.85,8.14
11461,Actb,8731,7418,35626,11950.825,8458.43,10468.55,13133.09,8268.33,11432.655
11464,Actc1,239.3333,33,10.6667,9.87,11.47,10.92,5.25,6.96,8.07
11465,Actg1,2785,2205.3333,8129.6667,13783.22,13423.97,13473.29,13330.99,10180.69,13185.01
11468,Actg2,11,18.3333,35.6667,87.3,5.27,5.08,4.61,2.82,9.14
11470,Actl7a,0.33333,0,0.33333,4.28,4.69,5.11,1.18,16.87,5.42
11471,Actl7b,0,0,0.66667,33.53,8.97,32.18,16.26,16.58,18.6
11472,Actn2,267.6667,113.6667,55.6667,14.77,6.95,16.49,20.42,26.56,18.78
11474,Actn3,2323.6667,617,60.3333,78.1,22.95,41.58,48.66,34.89,81.03
11475,Acta2,770.6667,815.6667,1268.6667,1012.5467,613.45,617.2,1508.9333,608.1733,1951.0167
11477,Acvr1,466.6667,366.6667,1075.6667,188.58,265.2833,313.7667,201.0967,176.25,233.37
11479,Acvr1b,250.6667,170.3333,1450.6667,465.185,629.545,578.85,251.82,543.195,627.565
11480,Acvr2a,576.6667,613,807.3333,221.325,202.42,297.195,214.225,142.995,214.895
11481,Acvr2b,97.3333,101.3333,69.6667,17.8133,21.29,27.2133,15.1367,13.2567,18.0233
11482,Acvrl1,556.6667,509.6667,1406.6667,41.7,21.09,65.34,20.81,34.065,20.665
11484,Aspa,1644,1837.6667,905,370.02,186.27,93.7,153.63,246.07,356.8
11486,Ada,26.6667,26,170.3333,51.63,54.45,70.8,51.76,62.5,55.33
11487,Adam10,1191.6667,1103,3712.3333,438.375,284.79,394.1475,349.7775,286.1025,422.4
11488,Adam11,126.3333,127,515.6667,58.1,53.28,53.015,48.105,50.105,52.08
11489,Adam12,1474.3333,1800,1401,376.11,378.005,393.405,333.61,437.6,464.31
11490,Adam15,1549.6667,1486,3271.3333,342.295,312.7725,415.0525,290.1125,374.89,336.3525
11491,Adam17,1170.6667,1116.6667,2633.6667,511.2267,323.7033,424.1467,385.1533,238.2433,374.1733
11492,Adam19,194,170,1780.6667,451.73,467.28,879.11,348.245,347.54,204.6
11495,Adam2,3.6667,3,2.6667,20.74,27.96,12.16,20.48,18.75,13.27
11496,Adam22,88,90,186.6667,51.315,56.125,57.14,51.175,48.025,52.71
11497,Adam3,1,2.6667,24.6667,3.12,71.67,13.12,38.93,8.21,2.29
11498,Adam4,5,4,14.3333,52.05,78.39,59.99,57.2,65.44,53.72
11499,Adam5,5.3333,1.3333,19,37.22,31.65,32.53,38.66,40.47,29.64
11500,Adam7,0,0,0,40.6,18.78,12.61,47.5,17.41,6.05
11501,Adam8,26.6667,28.3333,605.3333,116.28,82.32,83.6,236.14,50.96,114.03
11502,Adam9,2478.6667,2153,3360.3333,2365.15,3243.47,3283.7,2685.45,1910.34,3063.97
