mouse_Entrez_ID,mouse_Gene,mouse_scBAT_mean_count,mouse_WAT_mean_count,mouse_iBAT_mean_count,mouse_scBATvsWAT_Log_Ratio,mouse_scBATvsWAT_Pvalue,mouse_scBATvsiBAT_Log_Ratio,mouse_scBATvsiBAT_Pvalue,human_Genbank_accession,human_Gene,human_scBAT_mean_FPKM,human_WAT_mean_FPKM,human_scBATvsWAT_Log_Ratio
13371,Dio2,2491.3333,29.3333,2105,7.1162,4.87e-58,0.16508,0.42848,NM_013989,DIO2,4.47,0.07,6.04
19017,Ppargc1a,1484,242.6667,1749,3.278,1.6e-18,-0.31321,0.07669,NM_013261,PPARGC1A,15.66,3.15,2.31
22227,Ucp1,32342,581,34517.6667,6.4802,2.53e-52,-0.14871,0.3682,NM_021833,UCP1,2.87,0.68,2.07
238257,Tmem30b,33,6.3333,6,2.9183,0.00198,2.3303,0.00094245,NM_001017970,TMEM30B,8.41,0.17,5.59
14863,Gstm2,1203,1938,1111.3333,-0.028948,0.93223,0.046723,0.70101,NM_000561,GSTM1,16.51,0.39,5.42
72301,1810041L15Rik,0.66667,9.6667,0,-2.8726,0.028169,2.6338,0.50708,NM_001099294,KIAA1644,2.66,0.07,5.23
13602,Sparcl1,5676.3333,6534,6043.3333,0.45084,0.20497,-0.15649,0.18727,NM_004684,SPARCL1,46.84,1.57,4.9
217951,Tmem196,0,0.66667,0,-2.3858,1,-Inf,1,NM_152774,TMEM196,3.94,0.15,4.72
13393,Dlx3,0,0.33333,0,-1.6746,1,-Inf,1,NM_005220,DLX3,6.65,0.3,4.48
20377,Sfrp1,104.6667,218,89.3333,-0.37784,0.38197,0.14831,0.57123,NM_003012,SFRP1,21.41,1.35,3.99
13076,Cyp1a1,189.3333,52,240.6667,2.477,6.96e-05,-0.47077,0.35259,NM_000499,CYP1A1,5.55,0.44,3.67
29818,Hspb7,124,41,66.3333,2.2538,2.48e-05,0.82101,0.030715,NM_014424,HSPB7,85.49,6.85,3.64
17130,Smad6,576.3333,352.3333,613.3333,1.3713,0.00030437,-0.16095,0.22962,NM_001142861,SMAD6,25.46,2.09,3.61
12845,Comp,4,59.3333,2.3333,-3.1848,2.02e-06,0.68109,0.41093,NM_000095,COMP,3.69,0.3,3.6
64085,Clstn2,25.3333,266.3333,18,-2.7904,2.42e-05,0.39825,0.41901,NM_022131,CLSTN2,3.12,0.26,3.59
17313,Mgp,679.3333,549.6667,910.6667,1.001,0.0023855,-0.49533,0.00015096,NM_000900,MGP,523.67,45.68,3.52
69642,Mlip,19.6667,27.6667,10.3333,0.17692,0.79292,0.85332,0.12599,NM_138569,MLIP,24.39,2.33,3.39
242316,Gdf6,6.3333,11,12,-0.14667,0.87818,-0.97293,0.056978,NM_001001557,GDF6,4.51,0.47,3.27
19223,Ptgis,123.6667,125,64.6667,0.57983,0.31184,0.85849,0.00028516,NM_000961,PTGIS,8.75,1.01,3.11
68797,Pdgfrl,17,89.3333,23.6667,-1.7507,0.0022899,-0.54406,0.14333,NM_006207,PDGFRL,11.28,1.33,3.09
56198,Heyl,697.6667,298.6667,818.6667,1.8633,1.27e-05,-0.30018,0.021808,NM_014571,HEYL,5.68,0.68,3.06
15902,Id2,966.6667,1366.3333,1187.6667,0.29748,0.45681,-0.37448,0.0091614,NM_002166,ID2,73.63,9.37,2.97
71093,Atoh8,195.3333,162,197.3333,0.91891,0.057008,-0.0913,0.6882,NM_032827,ATOH8,10.88,1.49,2.87
231440,Parm1,3211,716.3333,2839.3333,2.8177,1.43e-14,0.11067,0.34494,NM_015393,PARM1,22.31,3.12,2.84
268709,Fam107a,111,287.6667,103.3333,-0.75687,0.17617,0.015064,0.98059,NM_001076778,FAM107A,5.3,0.75,2.82
19128,Pros1,672,1862.6667,594,-0.79861,0.013997,0.11065,0.38295,NM_000313,PROS1,94.28,13.81,2.77
14370,Fzd8,173,153.3333,198,0.83699,0.075735,-0.24759,0.38338,NM_031866,FZD8,8.82,1.33,2.73
226866,Sbspon,13,41.6667,13.3333,-0.97481,0.13359,-0.092443,0.87333,NM_153225,SBSPON,1.5,0.23,2.73
15903,Id3,1034,2163.3333,1088.3333,-0.34433,0.23398,-0.14107,0.35814,NM_002167,ID3,95.2,14.67,2.7
13723,Emb,35.6667,1412,28,-4.4874,1.48e-15,0.27919,0.39549,NM_198449,EMB,10.22,1.6,2.68
70713,Gpr137c,26.3333,31,26.6667,0.49442,0.33077,-0.088432,0.81808,NM_001099652,GPR137C,3.25,0.53,2.62
13078,Cyp1b1,154,1387.3333,127,-2.3987,1.8e-10,0.20602,0.30349,NM_000104,CYP1B1,122.7,20.18,2.6
233744,Spon1,85,396.3333,96.3333,-1.5229,0.00059013,-0.2494,0.3863,NM_006108,SPON1,5.57,0.95,2.55
214547,She,473,621.6667,552.6667,0.29053,0.41152,-0.28869,0.057271,NM_001010846,SHE,4.01,0.69,2.54
15901,Id1,1235.6667,833.6667,1146.3333,1.2032,0.002435,0.033134,0.85041,NM_002165,ID1,139.9,24.13,2.54
21923,Tnc,386,933.6667,450.3333,-0.51684,0.1239,-0.29088,0.039026,NM_002160,TNC,49.25,8.57,2.52
109205,Sobp,22.6667,27.6667,17,0.39763,0.53008,0.35308,0.3847,NM_018013,SOBP,3.61,0.65,2.47
20613,Snai1,26.6667,75.3333,23.6667,-0.80419,0.094649,0.10257,0.81268,NM_005985,SNAI1,9.39,1.74,2.43
67888,Tmem100,128.6667,188,46.3333,0.063254,0.91605,1.3945,3.11e-07,NM_018286,TMEM100,17.36,3.28,2.4
232533,Stk38l,1154.3333,801,1158.6667,1.2221,7.09e-05,-0.068975,0.61781,NM_015000,STK38L,16.57,3.17,2.38
241226,Itga8,54.3333,69.6667,59,0.37444,0.41898,-0.19457,0.4832,NM_003638,ITGA8,4.75,0.92,2.37
232174,Cyp26b1,51.6667,358,58.3333,-2.003,2.46e-05,-0.23816,0.5066,NM_019885,CYP26B1,34.33,6.67,2.36
208164,Fam180a,0.33333,98.3333,1,-7.0019,9.89e-09,-1.3505,0.63725,NM_205855,FAM180A,19.72,4.04,2.29
70717,Medag,247.3333,992.3333,155,-1.3886,0.0031299,0.6019,0.00093383,NM_032849,MEDAG,97.12,20.67,2.23
13610,S1pr3,266,926.3333,221.3333,-1.0095,0.0097968,0.20051,0.24701,NM_005226,S1PR3,36.2,7.77,2.22
21859,Timp3,8463,11406.3333,9221.3333,0.22185,0.52754,-0.19098,0.11137,NM_000362,TIMP3,370.37,79.68,2.22
14633,Gli2,33.6667,197.6667,16.3333,-1.9162,0.00031718,0.95998,0.012078,NM_005270,GLI2,6.59,1.48,2.16
232431,Gprc5a,13.3333,17.3333,17.6667,0.31024,0.61435,-0.48101,0.30685,NM_003979,GPRC5A,12.88,2.95,2.12
16773,Lama2,849.6667,1791,522,-0.4822,0.31987,0.63203,2.66e-06,NM_000426,LAMA2,41.57,9.56,2.12
211712,Pcdh9,7,11,3,0.0059073,1,1.1222,0.070771,NM_020403,PCDH9,4.25,0.99,2.1
67937,Tmem59l,0.66667,0.33333,0,1.3732,1,2.6339,0.50707,NM_012109,TMEM59L,15.01,3.69,2.03
15505,Hsph1,1022.3333,1426.6667,1183,0.26257,0.36961,-0.27854,0.068067,NM_006644,HSPH1,58.95,14.66,2.01
433938,Mn1,69.3333,73.3333,58,0.59772,0.21611,0.19082,0.46923,NM_002430,MN1,4.28,1.07,1.99
20471,Six1,445,414.3333,539,0.73828,0.094996,-0.34123,0.025392,NM_005982,SIX1,24.67,6.26,1.98
21826,Thbs2,171.3333,1616.3333,114.3333,-2.5915,2.88e-10,0.51377,0.012376,NM_003247,THBS2,131.66,33.47,1.98
14451,Gas1,723,490.3333,900.6667,1.2256,0.001514,-0.37122,0.065928,NM_002048,GAS1,40.49,10.34,1.97
99480,Dnttip2,793.6667,1585.6667,747.6667,-0.24279,0.41864,0.015359,0.92669,NM_014597,DNTTIP2,22.85,5.87,1.96
18162,Npr3,2484.3333,13785,2340.3333,-1.8439,4.48e-05,0.029122,0.8761,NM_001204376,NPR3,21.13,5.65,1.9
108000,Cenpf,9.6667,244,10.6667,-3.8343,2.17e-09,-0.20241,0.69002,NM_016343,CENPF,10.79,2.93,1.88
18708,Pik3r1,11928.6667,15649.6667,7375.6667,0.25254,0.51225,0.63167,0.00010071,NM_181523,PIK3R1,64.73,18.08,1.84
55994,Smad9,32.3333,36.3333,23.3333,0.53644,0.34328,0.41732,0.25803,NM_005905,SMAD9,4.53,1.27,1.83
14066,F3,2369,758.3333,2890.6667,2.3104,3.79e-11,-0.35201,0.0047024,NM_001993,F3,59.86,17,1.82
13800,Enah,305.3333,223.6667,303,1.13,0.00473,-0.057569,0.71711,NM_018212,ENAH,19.71,5.68,1.79
67916,Ppap2b,1819.6667,3609,1398,-0.37048,0.36646,0.2988,0.10406,NM_003713,PPAP2B,92.63,26.89,1.78
17131,Smad7,164,928,161.6667,-1.699,0.00033431,-0.054649,0.80187,NM_001190822,SMAD7,20.22,5.89,1.78
19386,Ranbp2,4039.6667,6978.3333,3571.6667,-0.036851,0.89784,0.10719,0.41085,NM_006267,RANBP2,15.67,4.56,1.78
18590,Pdgfa,174.3333,196,169.6667,0.52787,0.20565,-0.026651,0.91272,NM_033023,PDGFA,6.91,2.01,1.78
21809,Tgfb3,147.6667,507.6667,137.6667,-1.0883,0.0044284,0.025795,0.92734,NM_003239,TGFB3,7.77,2.27,1.78
110521,Hivep1,1178.3333,2126.6667,1141.6667,-0.095543,0.75102,-0.024716,0.84897,NM_002114,HIVEP1,16.42,4.8,1.78
70385,Spdl1,3,99.6667,5.6667,-4.1965,2.72e-08,-0.95034,0.22445,NM_017785,SPDL1,53.28,15.58,1.77
27273,Pdk4,27652.6667,4372.6667,30387.6667,3.2966,1e-11,-0.19647,0.28179,NM_002612,PDK4,174.72,51.82,1.75
14362,Fzd1,387.6667,830,366.3333,-0.40576,0.23483,0.015836,0.92435,NM_003505,FZD1,15.02,4.48,1.75
229841,Cenpe,14.6667,287.6667,15.3333,-3.4627,7.19e-08,-0.12542,0.81233,NM_001813,CENPE,4.2,1.26,1.74
59014,Rrs1,565.3333,987.6667,483,-0.089871,0.77492,0.14999,0.38676,NM_015169,RRS1,17.97,5.4,1.73
74155,Errfi1,627,1007.3333,468.3333,-0.035782,0.92738,0.31702,0.32622,NM_018948,ERRFI1,169.07,52.11,1.7
18514,Pbx1,676.6667,1372,610.3333,-0.33742,0.28343,0.079462,0.53595,NM_001204961,PBX1,16.83,5.34,1.65
13592,Ebf2,2292.6667,838.6667,2121.3333,2.0662,2.58e-06,0.025971,0.91774,NM_022659,EBF2,17.57,5.64,1.64
331623,Bend3,324,328.3333,285.3333,0.69405,0.063488,0.10691,0.6193,NM_001080450,BEND3,5.01,1.62,1.63
211401,Mtss1,1893.6667,3106.3333,1838,-0.00038697,0.99942,-0.020977,0.86857,NM_014751,MTSS1,19.97,6.58,1.6
99543,Olfml3,33.3333,242,37.3333,-2.1744,5.07e-06,-0.23309,0.48442,NM_020190,OLFML3,39.44,13.09,1.59
15368,Hmox1,304.3333,1395.3333,243.6667,-1.5221,7.62e-06,0.24111,0.23767,NM_002133,HMOX1,93.48,31.33,1.58
93689,Lmod1,97.3333,124.3333,112,0.31573,0.50676,-0.27537,0.30273,NM_012134,LMOD1,11.26,3.78,1.57
109151,Chd9,1502.3333,2702.3333,1447.6667,-0.11198,0.68734,-0.015335,0.90171,NM_025134,CHD9,17.33,5.87,1.56
66614,Gpatch4,156,501,123.3333,-0.89578,0.048198,0.26059,0.33029,NM_182679,GPATCH4,44.78,15.36,1.54
67035,Dnajb4,1101.3333,1202.6667,1037.3333,0.53622,0.11223,0.014777,0.91767,NM_007034,DNAJB4,75.97,26.14,1.54
14077,Fabp3,2645.6667,73.6667,3529,5.8356,3.82e-33,-0.45805,0.061629,NM_004102,FABP3,327.38,114.25,1.52
212943,Fam46a,914.3333,3132,638.3333,-1.109,0.0010635,0.42574,0.12189,NM_017633,FAM46A,49.46,17.36,1.51
234686,Fhod1,508,1189.6667,553,-0.48377,0.12698,-0.18017,0.32846,NM_013241,FHOD1,11.28,3.97,1.51
28071,Twistnb,211.6667,610.6667,190,-0.75463,0.052081,0.085636,0.63968,NM_001002926,TWISTNB,9.75,3.44,1.5
18845,Plxna2,1023.3333,1379.6667,837.6667,0.21863,0.58425,0.22815,0.25126,NM_025179,PLXNA2,4.82,1.72,1.49
66244,Nemf,915.6667,1710.6667,917,-0.15188,0.60107,-0.068618,0.58185,NM_004713,NEMF,19.39,6.95,1.48
12931,Crlf1,4.3333,38.6667,4.3333,-2.4927,0.00031772,-0.077429,1,NM_004750,CRLF1,46.81,16.81,1.48
17311,Kitl,1901.3333,2346.3333,2059.3333,0.38141,0.22078,-0.17915,0.15667,NM_000899,KITLG,9.78,3.52,1.48
67222,Srfbp1,228,404,215.6667,-0.063111,0.8762,0.010298,0.96381,NM_152546,SRFBP1,17.55,6.41,1.45
19735,Rgs2,4274.6667,1177.3333,4394.6667,2.6206,1.39e-16,-0.093777,0.65087,NM_002923,RGS2,35.48,13.11,1.44
19714,Rev3l,633.3333,2094.6667,585,-0.97485,0.00096013,0.043661,0.75296,NM_002912,REV3L,40.68,15.08,1.43
16476,Jun,1042.3333,1153.3333,1235.3333,0.54385,0.1028,-0.29846,0.16184,NM_002228,JUN,27.7,10.33,1.42
14200,Fhl2,6.6667,60,8.6667,-2.4143,4.08e-05,-0.45506,0.5141,NM_001039492,FHL2,139.38,52.86,1.4
17701,Msx1,13.6667,35,11.6667,-0.61113,0.25705,0.16222,0.79231,NM_002448,MSX1,25.8,9.83,1.39
107652,Uap1,2691,3315,2320,0.36552,0.26551,0.14818,0.22418,NM_003115,UAP1,164.97,63.01,1.39
94185,Tnfrsf21,575.3333,656.3333,544.3333,0.56013,0.079788,0.020097,0.89273,NM_014452,TNFRSF21,142.14,54.39,1.39
353258,Ltv1,396.6667,934.6667,360.6667,-0.48719,0.12994,0.068828,0.64296,NM_032860,LTV1,50.65,19.92,1.35
11504,Adamts1,502.3333,813.3333,552.6667,-0.021941,0.95286,-0.21102,0.14287,NM_006988,ADAMTS1,55.79,21.95,1.35
20916,Sucla2,26164,4670,27177,3.1421,1.37e-16,-0.11634,0.36523,NM_003850,SUCLA2,42.24,16.83,1.33
13640,Efna5,499.3333,492.6667,483,0.65172,0.14445,-0.011368,0.94791,NM_001962,EFNA5,12.01,4.95,1.28
242362,Manea,931,1209,1057.3333,0.3328,0.25723,-0.24669,0.05922,NM_024641,MANEA,26.28,10.86,1.28
230709,Zmpste24,590.3333,1736,517.6667,-0.83879,0.0036272,0.1187,0.39025,NM_005857,ZMPSTE24,23.48,9.94,1.24
19877,Rock1,1535,3655.3333,1513.6667,-0.49521,0.086419,-0.042708,0.73776,NM_005406,ROCK1,10.34,4.41,1.23
68979,Nol11,506,1014.6667,423.6667,-0.24628,0.4443,0.18482,0.24074,NM_015462,NOL11,43.97,20.26,1.12
666048,Trabd2b,269.6667,1060.6667,150,-1.3658,0.0040542,0.74945,0.025175,NM_001194986,TRABD2B,1.52,0.04,5.17
112407,Egln3,391.3333,103.6667,308.3333,2.6191,7.48e-11,0.26917,0.14037,NM_022073,EGLN3,3.2,0.25,3.68
12630,Cfi,3.3333,16,6,-1.4987,0.034114,-0.89208,0.25818,NM_000204,CFI,8.77,2.07,2.09
68810,Nexn,136.3333,127,63.6667,0.79742,0.12768,1.0309,0.021716,NM_001172309,NEXN,9.59,2.5,1.94
434215,Lrrc32,188,733.6667,220,-1.2383,0.00036302,-0.29634,0.099426,NM_001128922,LRRC32,18.6,4.95,1.91
170753,Zfp704,608.6667,822,571,0.2419,0.47659,0.022851,0.8676,NM_001033723,ZNF704,1.47,0.41,1.84
18124,Nr4a3,199,104.3333,295,1.716,0.00038371,-0.63253,0.0032152,NM_006981,NR4A3,3.16,0.9,1.82
21429,Ubtf,2418.6667,4904,2359.3333,-0.26461,0.35928,-0.031443,0.79796,NM_001076683,UBTF,15.79,5.01,1.66
12583,Cdo1,19802.3333,13523.3333,18397,1.2053,0.0013429,0.048785,0.73144,NM_001801,CDO1,110.66,42.29,1.39
76108,Rap2a,558.6667,1185.6667,564.6667,-0.35096,0.24422,-0.082058,0.57206,NM_021033,RAP2A,24.24,9.45,1.36
77446,Heg1,2431,3167,2762,0.28836,0.379,-0.24734,0.04953,NM_020733,HEG1,21.84,8.78,1.32
71514,Sfpq,2458,5468.6667,2447,-0.38965,0.21224,-0.068434,0.62372,NM_005066,SFPQ,143.53,57.91,1.31
68083,Pak1ip1,1177,1336.6667,987,0.55647,0.050588,0.18707,0.15676,NM_017906,PAK1IP1,48.75,20.29,1.26
67393,Cxxc5,657.3333,1054,596,0.056518,0.85748,0.066421,0.67559,NM_016463,CXXC5,86.67,36.64,1.24
72486,Rnf219,62.3333,306.6667,58.6667,-1.5064,0.0020385,0.028344,0.93268,NM_024546,RNF219,12.03,5.11,1.24
105372,Utp15,273,914,235.6667,-0.95742,0.013431,0.14017,0.44412,NM_032175,UTP15,18.64,7.99,1.22
22782,Slc30a1,596.3333,1032.3333,568,-0.077738,0.80121,-0.0016263,0.9944,NM_021194,SLC30A1,41.04,17.87,1.2
217154,Stac2,5.3333,233,3.3333,-4.5902,8.22e-09,0.59493,0.37751,NM_198993,STAC2,3.47,0.15,4.57
17286,Meox2,496.6667,891.3333,528.6667,-0.12136,0.70743,-0.15352,0.36889,NM_005924,MEOX2,3.77,0.45,3.08
105559,Mbnl2,5683.6667,4461,5646.6667,1.0208,0.0014466,-0.057477,0.64638,NM_207304,MBNL2,29.03,7.92,1.87
26968,Islr,277,673,141,-0.62685,0.1133,0.90022,6.17e-06,NM_201526,ISLR,17.5,4.98,1.81
73254,Ccdc18,82.6667,50.6667,88.6667,1.4913,0.0030628,-0.16816,0.4849,NM_206886,CCDC18,4.65,1.54,1.59
20677,Sox4,122.3333,456,140,-1.1274,0.0083873,-0.24139,0.47832,NM_003107,SOX4,7.02,2.51,1.49
225207,Zfp521,136,515,117.3333,-1.2177,0.0016786,0.13908,0.53586,NM_015461,ZNF521,5.33,1.91,1.48
66164,Nip7,353.6667,803.6667,304.6667,-0.39898,0.30673,0.1396,0.49917,NM_016101,NIP7,47.5,17.27,1.46
57810,Cdon,506,1433.3333,326.3333,-0.82265,0.010584,0.56025,0.00047908,NM_016952,CDON,15.48,5.91,1.39
