Var1,Var2
1415670_at,1704.73
1415671_at,1337.9
1415672_at,2529.98
1415673_at,1640.15
1415674_a_at,1304.97
1415675_at,910.6
1415676_a_at,2734.48
1415677_at,255.95
1415678_at,1379.7
1415679_at,2465.31
1415680_at,765.9
1415681_at,1273.46
1415682_at,232.67
1415683_at,3367.05
1415684_at,326.72
1415685_at,154.66
1415686_at,992.76
1415687_a_at,9005.82
1415688_at,1703.72
1415689_s_at,433.22
1415690_at,2958.27
1415691_at,2536.24
1415692_s_at,4446.89
1415693_at,950.94
1415694_at,267.23
1415695_at,6250.8
1415696_at,2971.15
1415697_at,927.55
1415698_at,504.42
1415699_a_at,2063.73
1415700_a_at,3933.41
1415701_x_at,17317.9
1415702_a_at,2096.55
1415703_at,662.98
1415704_a_at,2705.11
1415705_at,713.79
1415706_at,2623.6
1415707_at,1016.24
1415708_at,967.96
1415709_s_at,421.06
1415710_at,1091.86
1415711_at,826.71
1415712_at,442.92
1415713_a_at,775.61
1415714_a_at,3096.01
1415715_at,375.71
1415716_a_at,11008.28
1415717_at,226.77
1415718_at,1641.34
1415719_s_at,283.3
1415720_s_at,355.55
1415721_a_at,402.98
1415722_a_at,983.48
1415723_at,2415.19
1415724_a_at,1784.78
1415725_at,884.79
1415726_at,1440.18
1415727_at,1220.44
1415728_at,398.87
1415729_at,1495.44
1415730_at,252.36
1415731_at,312.97
1415732_at,411.81
1415733_a_at,2317.31
1415734_at,3994.71
1415735_at,2802.04
1415736_at,2324.94
1415737_at,1870.92
1415738_at,2292.18
1415739_at,1082.05
1415740_at,1322.23
1415741_at,2019.58
1415742_at,895.95
1415743_at,880.44
1415744_at,1401.11
1415745_a_at,620.54
1415746_at,152.14
1415747_s_at,1732.55
1415748_a_at,483.13
1415749_a_at,1744.37
1415750_at,360.08
1415751_at,1497.37
1415752_at,2909.75
1415753_at,1355.33
1415754_at,2142.24
1415755_a_at,1589.98
1415756_a_at,379.3
1415757_at,403.81
1415758_at,388.89
1415759_a_at,2349.6
1415760_s_at,5452.54
1415761_at,2091.51
1415762_x_at,2632.36
1415763_a_at,1242.34
1415764_at,1755.81
1415765_at,128.96
1415766_at,622.47
1415767_at,344.72
1415768_a_at,2779.3
1415769_at,398.1
1415770_at,756.54
1415771_at,2341.1
1415772_at,148.69
1415773_at,132.04
1415774_at,160.98
1415775_at,2872.08
1415776_at,365.6
1415777_at,40
1415778_at,5980.68
1415779_s_at,10180.69
1415780_a_at,543.24
1415781_a_at,10047.37
1415782_at,8936.95
1415783_at,2108.43
1415784_at,55.78
1415785_a_at,1187.5
1415786_at,6.16
1415787_at,1265.86
1415788_at,405.3
1415789_a_at,65.36
1415790_at,123.21
1415791_at,549.25
1415792_at,765.93
1415793_at,204.57
1415794_a_at,1007.97
1415795_at,227.06
1415796_at,4288.1
1415797_at,127.48
1415798_at,10.38
1415799_at,650.25
1415800_at,3593.08
1415801_at,33.79
1415802_at,2392.69
1415803_at,342.01
1415804_at,5.03
1415805_at,44.48
1415806_at,914.69
