Var1,Var2
1415670_at,1256.37
1415671_at,2088.4
1415672_at,3557.92
1415673_at,1063.44
1415674_a_at,891.18
1415675_at,678.55
1415676_a_at,2411.84
1415677_at,315.83
1415678_at,2079.66
1415679_at,2681.69
1415680_at,789.37
1415681_at,1321.48
1415682_at,379.59
1415683_at,3777.22
1415684_at,493.51
1415685_at,421.45
1415686_at,1137.99
1415687_a_at,8531.54
1415688_at,2522.19
1415689_s_at,648.06
1415690_at,2477.32
1415691_at,2986.33
1415692_s_at,5943.64
1415693_at,1254.53
1415694_at,349.16
1415695_at,8524.46
1415696_at,3710.76
1415697_at,1226.78
1415698_at,443.87
1415699_a_at,1826.95
1415700_a_at,4157.75
1415701_x_at,16386.95
1415702_a_at,1222.15
1415703_at,762.25
1415704_a_at,4499.02
1415705_at,733.78
1415706_at,4156.31
1415707_at,650.67
1415708_at,1571.98
1415709_s_at,335.63
1415710_at,1105.22
1415711_at,730.82
1415712_at,411.04
1415713_a_at,1438.27
1415714_a_at,2253.96
1415715_at,341.56
1415716_a_at,9250.22
1415717_at,222.34
1415718_at,980.15
1415719_s_at,523.06
1415720_s_at,210.24
1415721_a_at,429.67
1415722_a_at,1087.1
1415723_at,4899.75
1415724_a_at,2442.87
1415725_at,1227.35
1415726_at,1744.59
1415727_at,941.6
1415728_at,270.33
1415729_at,1800.42
1415730_at,493.57
1415731_at,253.31
1415732_at,471.85
1415733_a_at,2424.45
1415734_at,4708.58
1415735_at,1577.28
1415736_at,1600.39
1415737_at,2372.21
1415738_at,1553.97
1415739_at,1147.68
1415740_at,1268.9
1415741_at,1546.91
1415742_at,833.56
1415743_at,842.18
1415744_at,716.33
1415745_a_at,896.2
1415746_at,237.1
1415747_s_at,2101.32
1415748_a_at,752.11
1415749_a_at,2828.65
1415750_at,192.05
1415751_at,1352.7
1415752_at,3602.11
1415753_at,822.47
1415754_at,2299.62
1415755_a_at,764.84
1415756_a_at,703.36
1415757_at,230.02
1415758_at,335.73
1415759_a_at,1875.53
1415760_s_at,5117.28
1415761_at,2084.32
1415762_x_at,2439.8
1415763_a_at,1388.01
1415764_at,2927.58
1415765_at,72.62
1415766_at,794.62
1415767_at,594.76
1415768_a_at,2636.15
1415769_at,441.86
1415770_at,564.96
1415771_at,3859.78
1415772_at,303.02
1415773_at,1187.23
1415774_at,105.85
1415775_at,3574.13
1415776_at,358.97
1415777_at,24.13
1415778_at,6393.55
1415779_s_at,13783.22
1415780_a_at,560.97
1415781_a_at,10657.91
1415782_at,9781.06
1415783_at,3193.3
1415784_at,79.32
1415785_a_at,2031.48
1415786_at,4.32
1415787_at,802.8
1415788_at,724.37
1415789_a_at,244.87
1415790_at,268.74
1415791_at,640.47
1415792_at,438.6
1415793_at,335.77
1415794_a_at,1186.12
1415795_at,199.24
1415796_at,5030.61
1415797_at,64.73
1415798_at,14.5
1415799_at,822.43
1415800_at,4662.24
1415801_at,94.22
1415802_at,6237.23
1415803_at,440.04
1415804_at,38.9
1415805_at,58.92
1415806_at,805.71
1415807_s_at,648.22
1415808_at,7.48
1415809_at,3.08
1415810_at,65.79
1415811_at,19.99
1415812_at,16699.87
1415813_at,953.76
1415814_at,1587.95
1415815_at,12.62
1415816_at,2713.45
1415817_s_at,1640.82
1415818_at,295.24
1415819_a_at,559.66
1415820_x_at,1644.53
1415821_at,4780
1415822_at,9702.36
1415823_at,767.14
1415824_at,37.36
1415825_s_at,495.58
1415826_at,1366.6
1415827_a_at,3298.14
1415828_a_at,2103.48
1415829_at,859.37
1415830_at,345.57
1415831_at,2387.64
1415832_at,3.91
1415833_x_at,18408.7
1415834_at,1039.03
1415835_at,31.84
1415836_at,162.71
1415837_at,15.11
1415838_at,3352.53
1415839_a_at,10722.2
1415840_at,2750.06
1415841_at,1131.37
1415842_at,79.9
1415843_at,23.02
1415844_at,9.81
1415845_at,29.42
1415846_a_at,9.72
1415847_at,19.57
1415848_at,3.2
1415849_s_at,204.95
1415850_at,686.21
1415851_a_at,1161.35
1415852_at,1157.64
1415853_at,175.76
1415854_at,161.16
1415855_at,2372.79
1415856_at,1009.7
1415857_at,1538.29
1415858_at,2988.8
1415859_at,1104.39
1415860_at,1609.86
1415861_at,5.31
1415862_at,4.9
1415863_at,10708.4
1415864_at,103.21
1415865_s_at,123.69
1415866_at,179.92
1415867_at,4200.6
1415868_at,36.49
1415869_a_at,658.55
1415870_at,4332.11
1415871_at,52.6
1415872_at,2806.34
1415873_a_at,936.33
1415874_at,125.32
1415875_at,11.69
1415876_a_at,13672.8
1415877_at,107.73
1415878_at,365.06
1415879_a_at,20704.78
1415880_a_at,7607.21
1415881_at,3541.51
1415882_at,7370.09
1415883_a_at,1.32
1415884_at,68.33
1415885_at,20.17
1415886_at,14.02
1415887_at,3998.03
1415888_at,1298.6
1415889_a_at,11357.5
1415890_at,648.06
1415891_at,2983.94
1415892_at,1753.68
1415893_at,41.33
1415894_at,173.97
1415895_at,1107.27
1415896_x_at,842.53
1415897_a_at,18547.36
1415898_at,17.32
1415899_at,4140.05
1415900_a_at,4.22
1415901_at,1040.8
1415902_at,1
1415903_at,125.4
1415904_at,18516.46
1415905_at,21.2
1415906_at,10939.77
1415907_at,1472.23
1415908_at,1597.04
1415909_at,974.01
1415910_s_at,678
1415911_at,2908.73
1415912_a_at,7147.76
1415913_at,48.76
1415914_at,4853.33
1415915_at,1704.76
1415916_a_at,593.2
1415917_at,477.39
1415918_a_at,11584.08
1415919_at,637.62
1415920_at,1464.08
1415921_a_at,33.2
1415922_s_at,371.16
1415923_at,790
1415924_at,2.38
1415925_a_at,633.83
1415926_at,594.84
1415927_at,9.87
1415928_a_at,6979.12
1415929_at,2372.26
1415930_a_at,6959.31
1415931_at,9.94
1415932_x_at,37.85
1415933_a_at,10912.52
1415934_at,1069.29
1415935_at,78.93
1415936_at,253.38
1415937_s_at,431.43
1415938_at,15.64
1415939_at,216.49
1415940_at,2159.93
1415941_s_at,1045.86
1415942_at,15161.76
1415943_at,2247.35
1415944_at,534.92
1415945_at,70.57
1415946_at,265.89
1415947_at,2408.6
1415948_at,3035.03
1415949_at,6561.75
1415950_a_at,3163.46
1415951_at,268.55
1415952_at,614.73
1415953_s_at,150.53
1415954_at,2.3
1415955_x_at,18.78
1415956_a_at,272
1415957_a_at,532.1
1415958_at,402.71
1415959_at,97.29
1415960_at,58.5
1415961_at,2624.59
1415962_at,4170.81
1415963_at,2816.33
1415964_at,20568.57
1415965_at,5307.55
1415966_a_at,2849.87
1415967_at,2953.93
1415968_a_at,301.04
1415969_s_at,22.65
1415970_at,12426.66
1415971_at,2694.48
1415972_at,924.87
1415973_at,1590.34
1415974_at,479.82
1415975_at,1788.39
1415976_a_at,416.44
1415977_at,94.58
1415978_at,129.81
1415979_x_at,10228.13
1415980_at,3620.83
1415981_at,1292.2
1415982_at,342.72
1415983_at,15.41
1415984_at,5398.61
1415985_at,1360.99
1415986_at,462.11
1415987_at,2669.13
1415988_at,331.78
1415989_at,448.3
1415990_at,5277.55
1415991_a_at,952.09
1415992_at,85.74
1415993_at,656.41
1415994_at,2173.98
1415995_at,503.87
1415996_at,4727.83
1415997_at,1145.18
1415998_at,3519.44
1415999_at,27.85
1416000_a_at,17617.38
1416001_a_at,90.88
1416002_x_at,110.03
1416003_at,40.38
1416004_at,1203.44
1416005_at,1678.88
1416006_at,54.93
1416007_at,19.17
1416008_at,27.11
1416009_at,3212.81
1416010_a_at,868.96
1416011_x_at,738.15
1416012_at,152.19
1416013_at,621.19
1416014_at,449.38
1416015_s_at,1194.01
1416016_at,362.53
1416017_at,420.62
1416018_at,1298.7
1416019_at,191.69
1416020_a_at,2486.32
1416021_a_at,18970.61
1416022_at,11735.59
1416023_at,44.25
1416024_x_at,4288.72
1416025_at,13.22
1416026_a_at,9367.37
1416027_at,3073.77
1416028_a_at,1575.66
1416029_at,1197.55
1416030_a_at,312.35
1416031_s_at,303.2
1416032_at,576.79
1416033_at,39.33
1416034_at,731.26
1416035_at,1528.03
1416036_at,2684.14
1416037_a_at,3688.38
1416038_at,546.15
1416039_x_at,2170.79
1416040_at,15.63
1416041_at,2346.19
1416042_s_at,642.28
1416043_at,7.93
1416044_at,1050.31
1416045_a_at,638.82
1416046_a_at,726.11
1416047_at,4.97
1416048_at,926.18
1416049_at,7.21
1416050_a_at,297.59
1416051_at,357.83
1416052_at,585.7
1416053_at,8.52
1416054_at,13929.72
1416055_at,12.09
1416056_a_at,5180.57
1416057_at,4487.69
1416058_s_at,5102.78
1416059_at,845.86
1416060_at,2055.75
1416061_at,1023.22
1416062_at,330.19
1416063_x_at,3.47
1416064_a_at,12626.69
1416065_a_at,475.28
1416066_at,1807.14
1416067_at,8099.36
1416068_at,1092.12
1416069_at,2731.78
1416070_a_at,944.33
1416071_at,871.07
1416072_at,157.12
1416073_a_at,196.42
1416074_a_at,13930.71
1416075_at,1007.63
1416076_at,86.58
1416077_at,4192.64
1416078_s_at,934.95
1416079_a_at,882.09
1416080_at,239.01
1416081_at,136.21
1416082_at,6605.35
1416083_at,3714.81
1416084_at,1668.64
1416085_s_at,6022.99
1416086_at,1142.63
1416087_at,912.73
1416088_a_at,13153.08
1416089_at,12702.78
1416090_at,6811.16
1416091_at,710.66
1416092_a_at,925.49
1416093_a_at,1136.58
1416094_at,2365.15
1416095_x_at,2409.12
1416096_at,213.91
1416097_at,35.65
1416098_at,16.6
1416099_at,14090.51
1416100_at,2203.68
1416101_a_at,7379.32
1416102_at,4409.07
1416103_at,742.51
1416104_at,496.83
1416105_at,384.67
1416106_at,501.4
1416107_at,20.2
1416108_a_at,1486.16
1416109_at,1557.72
1416110_at,332.54
1416111_at,34.67
1416112_at,9400.35
1416113_at,393.43
1416114_at,122.35
1416115_at,439.57
1416116_at,108.33
1416117_at,65.67
1416118_at,179.97
1416119_at,12597.69
1416120_at,56.58
1416121_at,14813.53
1416122_at,4659.34
1416123_at,1003.55
1416124_at,124.03
1416125_at,2362
1416126_at,232.82
1416127_a_at,802.75
1416128_at,72.02
1416129_at,7238.88
1416130_at,2021.89
1416131_s_at,1188.47
1416132_at,194.16
1416133_at,1072.63
1416134_at,59.2
1416135_at,1441.64
1416136_at,2016.05
1416137_at,547.04
1416138_at,2032.95
1416139_at,63.75
1416140_a_at,675.67
1416141_a_at,18036.11
1416142_at,411.18
1416143_at,6658.17
1416144_a_at,3417.28
1416145_at,3845.13
1416146_at,4518.92
1416147_at,50.99
1416148_at,1526.14
1416149_at,14.13
1416150_a_at,1618.36
1416151_at,539.6
1416152_a_at,409.74
1416153_at,3889.68
1416154_at,66.85
1416155_at,92.58
1416156_at,2817.45
1416157_at,41.59
1416158_at,143.05
1416159_at,701.6
1416160_at,38.98
1416161_at,1580.03
1416162_at,117.64
1416163_at,845.09
1416164_at,1447.57
1416165_at,774.73
1416166_a_at,693.9
1416167_at,3439.79
1416168_at,17161.24
1416169_at,16.78
1416170_at,1250.51
1416171_at,1731.2
1416172_at,1145.51
1416173_at,165.35
1416174_at,222.54
1416175_a_at,4309.66
1416176_at,2014.75
1416177_at,2175.1
1416178_a_at,37.96
1416179_a_at,1059.29
1416180_a_at,219.56
1416181_at,1826.83
1416182_at,563.04
1416183_a_at,1207.11
1416184_s_at,1409.44
1416185_a_at,3223.89
1416186_at,699.5
1416187_s_at,669.04
1416188_at,304.87
1416189_a_at,2334.42
1416190_a_at,128.53
1416191_at,363.82
1416192_at,511.51
1416193_at,31.88
1416194_at,361.51
1416195_at,392.24
1416196_at,14.87
1416197_at,1217.31
1416198_at,142.7
1416199_at,328.7
1416200_at,300.47
1416201_at,904.87
1416202_at,2873.44
1416203_at,136.15
1416204_at,10.54
1416205_at,418.89
1416206_at,79.16
1416207_at,600.02
1416208_at,1015.97
1416209_at,4903.78
1416210_at,1599.47
1416211_a_at,86.56
1416212_at,2871.07
1416213_x_at,1110.64
1416214_at,206.02
1416215_at,432.19
1416216_at,301.41
1416217_a_at,13332.05
1416218_x_at,112.52
1416219_at,14931.83
1416220_at,5973.76
1416221_at,7748.03
1416222_at,703.43
1416223_at,163.18
1416224_at,183.88
1416225_at,1067.8
1416226_at,1482.74
1416227_at,84.22
1416228_at,1189.94
1416229_at,345.72
1416230_at,880.81
1416231_at,114.36
1416232_at,15.9
1416233_at,4059.92
1416234_at,4034.17
1416235_at,555.71
1416236_a_at,729.48
1416237_at,34.87
1416238_at,8.51
1416239_at,764.03
1416240_at,1014.55
1416241_at,1547
1416242_at,5.19
1416243_a_at,7921.1
1416244_a_at,8149.82
1416245_at,1549.54
1416246_a_at,20.58
1416247_at,4374.63
1416248_at,1121.9
1416249_at,345.99
1416250_at,5477.85
1416251_at,106.19
1416252_at,548.63
1416253_at,154.42
1416254_a_at,288.62
1416255_at,6.15
1416256_a_at,5441.03
1416257_at,1402.18
1416258_at,119.06
1416259_at,216.28
1416260_a_at,894.01
1416261_at,711.97
1416262_at,263.1
1416263_at,55.82
1416264_at,69.97
1416265_at,69.26
1416266_at,28.03
1416267_at,1901.83
1416268_at,3034.93
1416269_at,6410.38
1416270_at,1797.12
1416271_at,6.97
1416272_at,2409.2
1416273_at,991.26
1416274_at,158.41
1416275_at,86.52
1416276_a_at,14257.95
1416277_a_at,18283.09
1416278_a_at,5549.37
1416279_at,230.86
1416280_at,1493.65
1416281_at,1524.27
1416282_at,1333.01
1416283_at,725.58
1416284_at,535.53
1416285_at,2563.44
1416286_at,276.53
1416287_at,89.95
1416288_at,3958.45
1416289_at,856.95
1416290_a_at,2448.71
1416291_at,1303.72
1416292_at,2304.68
1416293_at,62.19
1416294_at,500.19
1416295_a_at,6.01
1416296_at,48.04
1416297_s_at,30.85
1416298_at,53.91
1416299_at,64.16
1416300_a_at,13727.82
1416301_a_at,367.87
1416302_at,152.07
1416303_at,4584.65
1416304_at,1381.11
1416305_at,37.26
1416306_at,2.51
1416307_at,1128.78
1416308_at,15096.85
1416309_at,48.22
1416310_at,18.33
1416311_s_at,465.89
1416312_at,1958.84
1416313_at,605.78
1416314_at,7.37
1416315_at,953.39
1416316_at,14.59
1416317_a_at,117.02
1416318_at,208.21
1416319_at,802.96
1416320_at,277.56
1416321_s_at,2534.7
1416322_at,579.26
1416323_at,161.41
1416324_s_at,673.54
1416325_at,10.13
1416326_at,2700.53
1416327_at,1165.9
1416328_a_at,5358.59
1416329_at,2157.45
1416330_at,11374.2
1416331_a_at,1565.6
1416332_at,663.64
1416333_at,7.57
1416334_at,115.04
1416335_at,15253.07
1416336_s_at,1681.3
1416337_at,4963.11
1416338_at,351.72
1416339_a_at,1642.51
1416340_a_at,775.64
1416341_at,966.45
1416342_at,5977.05
1416343_a_at,1871.2
1416344_at,5450.37
1416345_at,1715.42
1416346_at,937.85
1416347_at,194.6
1416348_at,116.71
1416349_at,707.54
1416350_at,299.13
1416351_at,5265.13
1416352_s_at,1099.72
1416353_at,380.99
1416354_at,97.45
1416355_at,21.32
1416356_at,314.44
1416357_a_at,66.43
1416358_at,194.5
1416359_at,3795.19
1416360_at,290.7
1416361_a_at,4.45
1416362_a_at,457.23
1416363_at,58.62
1416364_at,8345.82
1416365_at,3260.41
1416366_at,4516.58
1416367_at,605.94
1416368_at,370.93
1416369_at,688.61
1416370_at,327.67
1416371_at,6261.09
1416372_at,668.64
1416373_at,826.55
1416374_at,216.54
1416375_at,152.8
1416376_at,292.61
1416377_at,100.07
1416378_at,308.76
1416379_at,200.92
1416380_at,193.52
1416381_a_at,7791.92
1416382_at,219.7
1416383_a_at,4234.38
1416384_a_at,2393.25
1416385_a_at,4387.77
1416386_a_at,899.51
1416387_at,664.1
1416388_at,18.41
1416389_a_at,926.14
1416390_at,174.28
1416391_at,139.28
1416392_a_at,5955.83
1416393_at,1572.07
1416394_at,3639.02
1416395_at,670.85
1416396_at,10.3
1416397_at,86.54
1416398_at,79.05
1416399_a_at,1128.13
1416400_at,200.95
1416401_at,244.96
1416402_at,141.22
1416403_at,31.27
1416404_s_at,16229.28
1416405_at,18647.85
1416406_at,296.49
1416407_at,588.09
1416408_at,3747.34
1416409_at,2967.24
1416410_at,330.7
1416411_at,3791.19
1416412_at,224.53
1416413_at,1.96
1416414_at,390.05
1416415_a_at,2712.73
1416416_x_at,4279.25
1416417_a_at,2811.05
1416418_at,1053.52
1416419_s_at,5389.71
1416420_a_at,16642.53
1416421_a_at,527.28
1416422_a_at,1066.59
1416423_x_at,865.11
1416424_at,613.26
1416425_at,565.12
1416426_at,3105.06
1416427_at,2749.14
1416428_at,742.18
1416429_a_at,2553.94
1416430_at,3090.57
1416431_at,2306.26
1416432_at,1700.2
1416433_at,58.43
1416434_at,13.7
1416435_at,240.97
1416436_a_at,152.71
1416437_a_at,73.97
1416438_at,1173.27
1416439_at,498.27
1416440_at,8183.01
1416441_at,1503.78
1416442_at,1311.83
1416443_a_at,425.1
1416444_at,19.19
1416445_at,982.96
1416446_at,789.66
1416447_at,716.3
1416448_at,731.71
1416449_x_at,127.9
1416450_at,60.82
1416451_s_at,139.23
1416452_at,3687.74
1416453_x_at,16079.48
1416454_s_at,3012.31
1416455_a_at,1380.51
1416456_a_at,13.6
1416457_at,105.79
1416458_at,448.84
1416459_at,107.16
1416460_at,13.16
1416461_at,2642.59
1416462_at,1752.75
1416463_at,275.87
1416464_at,3.83
1416465_a_at,4920.35
1416466_at,7004.58
1416467_at,2385.17
1416468_at,3022.39
1416469_at,655.11
1416470_a_at,1296.59
1416471_at,1308.71
1416472_at,2739.36
1416473_a_at,386.87
1416474_at,200.07
1416475_at,626.64
1416476_a_at,4505.39
1416477_at,2711
1416478_a_at,7135.61
1416479_a_at,913.96
1416480_a_at,11815.16
1416481_s_at,1338.46
1416482_at,51.57
1416483_at,409.24
1416484_at,74.47
1416485_at,3828.7
1416486_at,1314.17
1416487_a_at,139.42
1416488_at,2732.56
1416489_at,1062.76
1416490_at,7.87
1416491_at,94.42
1416492_at,188.33
1416493_at,1391.59
1416494_at,2776.1
1416495_s_at,4892.39
1416496_at,6024.75
1416497_at,1419.88
1416498_at,2687.77
1416499_a_at,2744.57
1416500_at,1683.06
1416501_at,323.88
1416502_a_at,552.67
1416503_at,2074.69
1416504_at,68.99
1416505_at,3920.2
1416506_at,6735.04
1416507_at,42.88
1416508_at,2130.13
1416509_at,1506.96
1416510_at,1255.22
1416511_a_at,177.5
1416512_at,520.63
1416513_at,593.22
1416514_a_at,3105.97
1416515_at,24.89
1416516_at,26.81
1416517_at,193.54
1416518_at,18.87
1416519_at,12351.17
1416520_x_at,9127.05
1416521_at,319.57
1416522_a_at,2208.34
1416523_at,47.63
1416524_at,1478.16
1416525_at,171
1416526_a_at,1613.88
1416527_at,1166.09
1416528_at,1292.87
1416529_at,5170.97
1416530_a_at,6167.9
1416531_at,4543.64
1416532_at,393.2
1416533_at,393.86
1416534_at,839.11
1416535_at,261.06
1416536_at,245.42
1416537_at,496.1
1416538_at,133.82
1416539_at,41.86
1416540_at,723.87
1416541_at,435.72
1416542_at,168.62
1416543_at,2609.82
1416544_at,165.32
1416545_at,261.61
1416546_a_at,10724.99
1416547_at,5238.76
1416548_at,213.45
1416549_at,95.73
1416550_at,146.2
1416551_at,1281.46
1416552_at,31.45
1416553_at,394.28
1416554_at,1009.47
1416555_at,1681.21
1416556_at,3155.47
1416557_a_at,438.48
1416558_at,20.56
1416559_at,338.8
1416560_at,21.98
1416561_at,19.53
1416562_at,12.01
1416563_at,1400.43
1416564_at,8
1416565_at,9293.14
1416566_at,1946.67
1416567_s_at,2152.36
1416568_a_at,150.85
1416569_at,225.99
1416570_s_at,856.49
1416571_at,72.92
1416572_at,130.89
1416573_at,294.92
1416574_at,897.63
1416575_at,41.31
1416576_at,164.24
1416577_a_at,3326.2
1416578_at,429.23
1416579_a_at,16.74
1416580_a_at,1700.97
1416581_at,368.32
1416582_a_at,676.6
1416583_at,618.1
1416584_at,265.87
1416585_at,560.1
1416586_at,88.62
1416587_a_at,267.01
1416588_at,373.19
1416589_at,13151.9
1416590_a_at,2039.79
1416591_at,2825.49
1416592_at,4397.96
1416593_at,2293.39
1416594_at,508.12
1416595_at,1364.18
1416596_at,15.77
1416597_at,210.5
1416598_at,175.64
1416599_at,187.39
1416600_a_at,382.32
1416601_a_at,37.53
1416602_a_at,139.92
1416603_at,6313.26
1416604_at,5334.18
1416605_at,1043.35
1416606_s_at,1841.76
1416607_at,3371.25
