Var1,Var2
1415670_at,1585.52
1415671_at,1965.5
1415672_at,4487.47
1415673_at,629.82
1415674_a_at,632.06
1415675_at,642.34
1415676_a_at,1345.52
1415677_at,233.76
1415678_at,2188.2
1415679_at,2153.33
1415680_at,1433.73
1415681_at,1181.56
1415682_at,317.96
1415683_at,5247.53
1415684_at,494.23
1415685_at,227.55
1415686_at,1341.88
1415687_a_at,11092.64
1415688_at,2949.27
1415689_s_at,786.31
1415690_at,1329.15
1415691_at,2756.79
1415692_s_at,6564.66
1415693_at,1027.39
1415694_at,368.49
1415695_at,4603.88
1415696_at,3487.71
1415697_at,691.59
1415698_at,355.98
1415699_a_at,1736.44
1415700_a_at,4712.23
1415701_x_at,17129.99
1415702_a_at,1867.76
1415703_at,718.79
1415704_a_at,4773.9
1415705_at,664.35
1415706_at,5948.46
1415707_at,1065.47
1415708_at,1471.75
1415709_s_at,468.03
1415710_at,1419.09
1415711_at,928.45
1415712_at,446.2
1415713_a_at,1813.91
1415714_a_at,2314.59
1415715_at,262.02
1415716_a_at,10363.85
1415717_at,200.32
1415718_at,1141.42
1415719_s_at,270.16
1415720_s_at,319.5
1415721_a_at,414.02
1415722_a_at,926.24
1415723_at,4161
1415724_a_at,1737.74
1415725_at,859.29
1415726_at,1981.27
1415727_at,890.23
1415728_at,385.94
1415729_at,2131.87
1415730_at,515.16
1415731_at,247.71
1415732_at,328.24
1415733_a_at,1043.1
1415734_at,4636.17
1415735_at,1997.88
1415736_at,1599.36
1415737_at,2398.89
1415738_at,2247.12
1415739_at,992.36
1415740_at,942.33
1415741_at,1432.9
1415742_at,806.11
1415743_at,952.21
1415744_at,536.9
1415745_a_at,846.88
1415746_at,357.26
1415747_s_at,2063.17
1415748_a_at,704.79
1415749_a_at,2307.72
1415750_at,203.09
1415751_at,2362.76
1415752_at,3106.06
1415753_at,1008.67
1415754_at,1076.2
1415755_a_at,1487.03
1415756_a_at,861.23
1415757_at,324.89
1415758_at,353.74
1415759_a_at,1079.96
1415760_s_at,4595.34
1415761_at,1605.14
1415762_x_at,1621.16
1415763_a_at,1084.4
1415764_at,3199.12
1415765_at,56.73
1415766_at,950.67
