ID,Gene Symbol,ENTREZ_GENE_ID
1415670_at,Copg1,54161
1415671_at,Atp6v0d1,11972
1415672_at,Golga7,57437
1415673_at,Psph,100678
1415674_a_at,Trappc4,60409
1415675_at,Dpm2,13481
1415676_a_at,Psmb5,19173
1415677_at,Dhrs1,52585
1415678_at,Ppm1a,19042
1415679_at,Psenen,66340
1415680_at,Anapc1,17222
1415681_at,Mrpl43,94067
1415682_at,Xpo7,65246
1415683_at,Nmt1,18107
1415684_at,Atg5,11793
1415685_at,Mtif2,76784
1415686_at,Rab14,68365
1415687_a_at,Psap,19156
1415688_at,Ube2g1,67128
1415689_s_at,Zkscan3,72739
1415690_at,Mrpl27,94064
1415691_at,Dlg1,13383
1415692_s_at,Canx,12330
1415693_at,Derl1,67819
1415694_at,Wars,22375
1415695_at,Psma1,26440
1415696_at,Sar1a,20224
1415697_at,G3bp2,23881
1415698_at,Golm1,105348
1415699_a_at,Gps1,209318
1415700_a_at,Ssr3,67437
1415701_x_at,LOC100044627 /// LOC100862455 /// Rpl23,65019 /// 100044627 /// 100862455
1415702_a_at,Ctbp1,13016
1415703_at,Huwe1,59026
1415704_a_at,Cdv3,321022
1415705_at,Smim7,66818
1415706_at,Copa,12847
1415707_at,Anapc2,99152
1415708_at,Tug1,544752
1415709_s_at,Gbf1,107338
1415710_at,Cox18,231430
1415711_at,Arfgef1,211673
1415712_at,Zranb1,360216
1415713_a_at,Ddx24,27225
1415714_a_at,Snrnp27,66618
1415715_at,Tmem129,68366
1415716_a_at,Rps27 /// Rps27rt,57294 /// 100043813
1415717_at,Rnf220,66743
1415718_at,Sap30l,50724
1415719_s_at,Armc1,74252
1415720_s_at,Mad2l1bp,66591
1415721_a_at,Naa60,74763
1415722_a_at,Vta1,66201
1415723_at,Eif5,217869
1415724_a_at,Cdc42,12540
1415725_at,Rrn3,106298
1415726_at,Ankrd17,81702
1415727_at,Apoa1bp,246703
1415728_at,Pabpn1,54196
1415729_at,Pdpk1,18607
1415730_at,Cpsf7,269061
1415731_at,Angel2,52477
1415732_at,Abhd16a,193742
1415733_a_at,Gm8069 /// Tomm5,68512 /// 666377
1415734_at,Rab7,19349
1415735_at,Ddb1,13194
1415736_at,Pfdn5,56612
1415737_at,Rfk,54391
1415738_at,Txndc12,66073
1415739_at,Rbm42,68035
1415740_at,Psmc5,19184
1415741_at,Tmem165,21982
1415742_at,Aup1,11993
1415743_at,Hdac5,15184
1415744_at,Pfdn6,14976
1415745_a_at,Dscr3,13185
1415746_at,Cic,71722
1415747_s_at,Riok3,66878
1415748_a_at,Dctn5,59288
1415749_a_at,Rragc,54170
1415750_at,Tbl3,213773
1415751_at,Hp1bp3,15441
1415752_at,BC031181,407819
1415753_at,Abhd17a,216169
1415754_at,Polr2f,69833
1415755_a_at,Ube2v1,66589
1415756_a_at,Snapin,20615
1415757_at,Gbf1,107338
1415758_at,Fryl,72313
1415759_a_at,Lamtor5,68576
1415760_s_at,Atox1,11927
1415761_at,Mrpl52,68836
1415762_x_at,Mrpl52,68836
1415763_a_at,Tmem234,76799
1415764_at,Zbed6 /// Zc3h11a,70579 /// 667118
1415765_at,Hnrnpul2,68693
1415766_at,Sec22b,20333
1415767_at,Ythdf1,228994
1415768_a_at,Ube2r2,67615
1415769_at,Itch,16396
1415770_at,Wdr6,83669
1415771_at,Ncl,17975
1415772_at,Ncl,17975
1415773_at,Ncl,17975
1415774_at,Elp2,58523
1415775_at,Rbbp7,245688
1415776_at,Aldh3a2,11671
1415777_at,Pnliprp1,18946
1415778_at,Morf4l2,56397
1415779_s_at,Actg1,11465
1415780_a_at,Armcx2,67416
1415781_a_at,LOC101056240 /// Sumo2,170930 /// 101056240
1415782_at,LOC101056240 /// Sumo2,170930 /// 101056240
1415783_at,Vps35,65114
1415784_at,Vps35,65114
1415785_a_at,Cct8,12469
1415786_at,Pgc,109820
1415787_at,Ganab,14376
1415788_at,Ublcp1,79560
1415789_a_at,Ublcp1,79560
1415790_at,Ublcp1,79560
1415791_at,Rnf34,80751
1415792_at,Rbck1,24105
1415793_at,Pnpo,103711
1415794_a_at,Spin1,20729
1415795_at,Spin1,20729
1415796_at,Dazap2 /// Gm2444,23994 /// 100039826
1415797_at,Ddr1,12305
1415798_at,Ddr1,12305
1415799_at,Wbp11,60321
1415800_at,Gja1,14609
1415801_at,Gja1,14609
1415802_at,Slc16a1,20501
1415803_at,Cx3cl1,20312
1415804_at,Cx3cl1,20312
1415805_at,Clps,109791
1415806_at,Plat,18791
1415807_s_at,Srsf2,20382
1415808_at,Tpbpa,21984
1415809_at,Tpbpa,21984
1415810_at,Uhrf1,18140
1415811_at,Uhrf1,18140
1415812_at,Gsn,227753
1415813_at,Api5,11800
1415814_at,Atp6v1b2,11966
1415815_at,Trim27,19720
1415816_at,Cct7,12468
1415817_s_at,Cct7,12468
1415818_at,Anxa6,11749
1415819_a_at,Ppp2r1a,51792
1415820_x_at,Nono,53610
1415821_at,Nptn,20320
1415822_at,Scd2,20250
1415823_at,Scd2,20250
1415824_at,Scd2,20250
1415825_s_at,Csnk1d,104318
1415826_at,Atp6v1h,108664
1415827_a_at,Serp1,28146
1415828_a_at,Serp1,28146
1415829_at,Lbr,98386
1415830_at,Orc5,26429
1415831_at,Psmd2,21762
1415832_at,Agtr2,11609
1415833_x_at,Rps29,20090
1415834_at,Dusp6,67603
1415835_at,Prl3b1,18776
1415836_at,Aldh18a1,56454
1415837_at,Klk1,16612
1415838_at,Serinc1,56442
1415839_a_at,Npm1,18148
1415840_at,Elovl5,68801
1415841_at,Dync1i2,13427
1415842_at,Mlst8,56716
1415843_at,Mlst8,56716
1415844_at,Syt4,20983
1415845_at,Syt4,20983
1415846_a_at,Ldhc,16833
1415847_at,Ldhc,16833
1415848_at,Prl3d1,18775
1415849_s_at,Stmn1,16765
1415850_at,Rasa3,19414
1415851_a_at,Gm15210 /// Impdh2,23918 /// 100042069
1415852_at,Gm15210 /// Impdh2,23918 /// 100042069
1415853_at,Def8,23854
1415854_at,Kitl,17311
1415855_at,Kitl,17311
1415856_at,Emb,13723
1415857_at,Emb,13723
1415858_at,Eif3c,56347
1415859_at,Eif3c,56347
1415860_at,Kpna2,16647
1415861_at,Tyrp1,22178
1415862_at,Tyrp1,22178
1415863_at,Eif4g2,13690
1415864_at,Bpgm,12183
1415865_s_at,Bpgm,12183
1415866_at,Unc45a,101869
1415867_at,Cct4,12464
1415868_at,Cct4,12464
1415869_a_at,Trim28,21849
1415870_at,Calu,12321
1415871_at,Tgfbi,21810
1415872_at,Hnrnph1,59013
1415873_a_at,Actr1a,54130
1415874_at,Spry1,24063
1415875_at,3010003L21Rik,109163
1415876_a_at,Rps26,27370
1415877_at,Dpysl3,22240
1415878_at,Rrm1,20133
1415879_a_at,Rplp2,67186
1415880_a_at,Lamp1,16783
1415881_at,Ghitm,66092
1415882_at,Ghitm,66092
1415883_a_at,Cela3b,67868
