Gene ID,GenBank Nucleotide Accession
20249,BM546583; S70284; AF097514; AF109362; AI740935; AK222862; ; AB208982; CD245516; AI761929; BC062303; BI827092; AB032261; BC005807; BU940035; CF454075; DB045963; AK312312; Y13647; NM_005063
14104,U29344; U26644; ; AB209988; BC007267; S80437; BC007305; BC021544; AY451392; BC007909; XM_011523538; NM_004104; BC014631; BC014634; BC063242
11429,AK314845; DQ895836; BC026196; XM_017028812; ; CU012932; NM_001098; AA724140; AK296260; DQ893674; CU013220; GQ472196; AK293562; AK302691; AK297213; AK301321; BC014092; CR456365; U80040; CR536568; U87932
14555,AK295911; BC032234; CD244782; DC310521; ; NM_005276; AK312516; DC305085; DQ890626; DQ893793; L34041; AK130162; NM_001257199; AI245302; BC017429; CA307120
11947,DQ894779; BC016512; X05606; ; DQ403107; AK291085; BI561028; FJ224288; NM_001686; DQ891585
16956,BC011353; BT006726; S78266; ; AK222464; AK312311; CR457054; DA485210; DQ893751; X14390; DQ893541; AK092286; AK297164; M26380; NM_000237; AK290290; M15856; X54516
107476,; AK129523; AY315626; BC041598; AJ534889; AK296368; AY315619; AY315620; AY315624; XR_001752504; AJ534888; AK295586; AK309084; AY315622; AY315623; NM_198836; NM_198838; AK295805; AK311329; BC031485; BF154865; U19822; XM_006721853; XM_011524703; XM_017024553; AB209325; XM_017024554; NM_198834; NM_198835; AK295735; XM_011524701; AJ564444; AK309424; AY237919; AY315621; AY315625; AY315627; BC137287; XM_011524704; XM_017024555; NM_198837; NM_000664; AB371587; AK301579; AK308905; CF454424; XM_005257267; NM_198839
12350,DA421884; ; AK096880; AK300670; BC004897; EU794596; HQ447361; AK300677; AK313254; NM_005181
11946,AW205533; BC007299; BC011384; BC016046; BT007209; AK092735; AK289457; AK294804; BC019310; NM_001257334; AK098765; AK129900; AK302272; AU120644; BC064562; XM_017025789; ; AK129739; AK129804; BC028335; BC039135; CD244623; CK002707; X59066; BC008028; BC035703; X65460; BC067385; D14710; DQ890557; DQ894210; NM_001001937; AK310051; AW207528; NM_001001935; NM_001257335; NM_004046; AU143001; BC003119; BC042694; BT008250; FJ224309
19194,AK130543; AY359055; BC065726; NM_080574; AF432917; AK291854; ; AK130550; HQ447565; NM_001319164
21881,AK092084; AK289454; BC024026; DQ893078; ; BC002433; AK293438; AK301231; AK309482; BX647248; CA421169; CB139769; KU178361; X67688; NM_001064; NR_047580; DB503248; NM_001135055; NR_047579; AK223614; DC406010; AK303191; BC008615; EU176764; L12711; XM_011534054; XM_011534055; AK057092; AK093667; BC009970; BE504944; BQ430230; BX649193; KU178362; KU178363; NM_001258028; NM_001135056; EU794667; GQ472197; U55017
11722,AK223463; BC146997; DQ896151; NM_000699; M28443; AW873834; BC007060; ; DQ892901; M18717; M18719; M18721; BC092444; BC132987; M18671; M18715; M18784; BC063129; BC069463; M17883; M18725; M18786; M17884; M18674; BC132997; M18723; AK292341; M18727; BC069347; BC132985; BC132995; AL513482; M19233; AK127047; BC011179; CH471097; D90097; BC020861; M18670; X07057; AK095605; AC105272; M24895; M18714; M18718; M18726; X07056; M18724; M18785; M18722; M18783; M18720; M18669; M18716
18534,AI635748; AK290802; ; AK300072; BX648510; DQ896497; DB187814; XM_011528839; BM758256; DQ893518; AW007566; L05144; AK303806; BC023978; BJ993061; BM768055; NM_002591
14645,AK122784; AW665656; AY947343; BM662182; DB317032; EU832658; X59834; NM_001033044; BC011700; BC018992; BQ637044; XM_006711278; AW954632; BC051726; CD688156; DA456371; DQ896609; S70290; Y00387; NM_002065; AI286093; AY513283; BC010037; BM690132; AL161952; BC031964; DA151535; ; AK092874; BC011852; BC127883; BG771732; DA322310; DQ893278; NM_001033056; AY486122; BF923451; EU832735; AI147221; AK301600; BI668874; BX537384; CD300750
66853,AK308435; AY894804; ; AF055000; HQ651812; KF833265; AJ278475; AJ278476; BC011958; KF601369; NM_020376; XM_006718265; AY203925; AL833707; XM_017018028; BC017280; JF279441; JF279442; KF833264; XM_006718266
98660,AB018321; AK314296; AL831991; BC052271; KU177928; AK295048; DA221602; M16795; AK126573; KU177927; AL831997; AY946014; ; AK308773; BC047533; AK091617; AK299460; Y07494; NM_000702; AK124581; AK295729; BC013680; EB386326
66945,L21936; XM_011514073; ; AB208991; AK094879; AK291311; AK295937; XM_011514072; AK131478; BC004328; DA160919; BC041016; NM_001330758; DQ402982; XM_017009685; AK302524; BC001380; CA427314; HY265959; XM_005248331; NM_001294332; AK131350; D30648; AK225027; NM_004168
11674,AK026577; BC004333; CB151262; X05236; NM_001127617; NM_001243177; AK098778; BC000367; FJ474908; XM_011545768; NM_001243175; BC012880; DA899482; XR_001751871; NM_184041; AK308495; BC015888; BE893518; BU855133; BX647566; D28356; DQ894246; EF036496; M21190; BC016170; BC016800; EF036497; M11560; NM_000034; BQ719865; DA893541; AK301993; BC010660; CR536528; CR541880; DA564075; DB057572; NM_184043; ; AK308748; BC013614; DA138954; DQ891065
104112,AK295675; BC006195; DB072009; NM_001303274; X64330; NM_001096; NM_198830; AK095084; XM_005257395; BG037168; XM_017024688; ; U18197; AB210035; AK304802; DQ575356; AK312315; JF432308; NM_001303275
18293,DQ891880; EU176648; AK296400; BC128550; DQ925674; XM_011515408; NM_001165036; NM_002541; ; AK314179; NM_001003941; AK293871; AK302805; BC009580; BM998792; DC401267; AI244565; AK304690; BC128549; AK294951; BU682361; D10523; XM_005249759; XM_005249761; BC004964; AK304439; AU140451; BC014617; DQ925673; HM005444
12974,AF047042; AK098177; BC010106; AK074956; AK296249; BC000105; ; AF147410; BX640838; AK293263; AK307625; DQ403132; AF053631; AL713477; BI553413; AK095856; BT007414; BI258893; CB990178; BC072016; NM_004077; NM_198324
11370,AK222518; AK302653; BP387474; X86556; XM_011523829; XR_934023; NM_001270447; AK058109; XR_934021; NM_001270448; AA643658; AK056956; BC000399; BC012912; BI822737; DA945553; D43682; NM_000018; ; AK056083; AK293549; AL536186; BC020218; XM_006721516; AK097243; XM_011523830; XR_934022; NM_001033859
100705,AK302469; XM_011538265; AB209110; XR_001748678; XR_001748679; AK302502; BC028417; CB269579; HG505159; XM_005253876; XM_011538259; XM_011538264; XR_944530; AY382667; BC172264; BC172569; XR_944531; XR_944532; AJ575431; AJ575592; AK307466; AY701053; U34591; U89344; XM_011538263; XM_017019252; NM_001093; ; R99037; XM_006719367; BC009753; CB269093; DB567934; DQ493870
11770,CD000452; J02874; BC003672; BQ880795; NM_001442; ; BT006809; FJ224319; CR456903; JF432859
14081,AK303486; BC050073; BM982557; D10040; NM_001286711; NM_001286712; ; AK096117; AK292798; AK296550; BG773086; XM_005262828; NM_001995; BG680610; L09229; XM_017007887; NM_001286708; XM_005262831; XM_011531742; NM_001286710; AK296826; BC033479; BI461964; DQ083029; BC026290; DC344113; DQ083028; XM_005262829; XM_017007888; XM_017007889
13627,AF174496; AK026650; AK222551; BC029337; BC029997; DQ185041; DQ867534; EF219140; AK222982; AK223030; AK223046; BC014892; BC066894; DQ891450; AK024888; AK098510; AK098623; AK223042; AK290691; BC008587; BC057391; BC066893; BC070500; BC071741; BC082268; M27364; AK289442; AY043301; BC012509; BC018641; BC020477; BC021686; BC029343; BC035877; BC063511; BC070131; BC071619; X03689; XM_011535514; AK055058; AK058082; AK222519; BC014377; BC094687; D28375; M29548; AF397403; BC009733; BC018150; BC019050; BC022412; BC072385; EF362804; NM_001402; NM_001403; AF328730; AK058051; AK098518; AK127384; AK222515; AK292639; AK300922; AK315827; BC010735; BC012891; BC014224; BC018850; BC028674; BC038897; BC071727; DQ894629; X16869; ; AJ420488; AK058163; AK098587; AK222523; AK289374; AK297878; AK304214; BC009875; BC019669; BC038339; BC065761; BC071841; BC111051; X03558
