Gene ID,GenBank Nucleotide Accession
20249,BM546583; S70284; AF097514; AF109362; AI740935; AK222862; ; AB208982; CD245516; AI761929; BC062303; BI827092; AB032261; BC005807; BU940035; CF454075; DB045963; AK312312; Y13647; NM_005063
14104,U29344; U26644; ; AB209988; BC007267; S80437; BC007305; BC021544; AY451392; BC007909; XM_011523538; NM_004104; BC014631; BC014634; BC063242
11429,AK314845; DQ895836; BC026196; XM_017028812; ; CU012932; NM_001098; AA724140; AK296260; DQ893674; CU013220; GQ472196; AK293562; AK302691; AK297213; AK301321; BC014092; CR456365; U80040; CR536568; U87932
14555,AK295911; BC032234; CD244782; DC310521; ; NM_005276; AK312516; DC305085; DQ890626; DQ893793; L34041; AK130162; NM_001257199; AI245302; BC017429; CA307120
11947,DQ894779; BC016512; X05606; ; DQ403107; AK291085; BI561028; FJ224288; NM_001686; DQ891585
107476,; AK129523; AY315626; BC041598; AJ534889; AK296368; AY315619; AY315620; AY315624; XR_001752504; AJ534888; AK295586; AK309084; AY315622; AY315623; NM_198836; NM_198838; AK295805; AK311329; BC031485; BF154865; U19822; XM_006721853; XM_011524703; XM_017024553; AB209325; XM_017024554; NM_198834; NM_198835; AK295735; XM_011524701; AJ564444; AK309424; AY237919; AY315621; AY315625; AY315627; BC137287; XM_011524704; XM_017024555; NM_198837; NM_000664; AB371587; AK301579; AK308905; CF454424; XM_005257267; NM_198839
11946,AW205533; BC007299; BC011384; BC016046; BT007209; AK092735; AK289457; AK294804; BC019310; NM_001257334; AK098765; AK129900; AK302272; AU120644; BC064562; XM_017025789; ; AK129739; AK129804; BC028335; BC039135; CD244623; CK002707; X59066; BC008028; BC035703; X65460; BC067385; D14710; DQ890557; DQ894210; NM_001001937; AK310051; AW207528; NM_001001935; NM_001257335; NM_004046; AU143001; BC003119; BC042694; BT008250; FJ224309
19194,AK130543; AY359055; BC065726; NM_080574; AF432917; AK291854; ; AK130550; HQ447565; NM_001319164
21881,AK092084; AK289454; BC024026; DQ893078; ; BC002433; AK293438; AK301231; AK309482; BX647248; CA421169; CB139769; KU178361; X67688; NM_001064; NR_047580; DB503248; NM_001135055; NR_047579; AK223614; DC406010; AK303191; BC008615; EU176764; L12711; XM_011534054; XM_011534055; AK057092; AK093667; BC009970; BE504944; BQ430230; BX649193; KU178362; KU178363; NM_001258028; NM_001135056; EU794667; GQ472197; U55017
11722,AK223463; BC146997; DQ896151; NM_000699; M28443; AW873834; BC007060; ; DQ892901; M18717; M18719; M18721; BC092444; BC132987; M18671; M18715; M18784; BC063129; BC069463; M17883; M18725; M18786; M17884; M18674; BC132997; M18723; AK292341; M18727; BC069347; BC132985; BC132995; AL513482; M19233; AK127047; BC011179; CH471097; D90097; BC020861; M18670; X07057; AK095605; AC105272; M24895; M18714; M18718; M18726; X07056; M18724; M18785; M18722; M18783; M18720; M18669; M18716
18534,AI635748; AK290802; ; AK300072; BX648510; DQ896497; DB187814; XM_011528839; BM758256; DQ893518; AW007566; L05144; AK303806; BC023978; BJ993061; BM768055; NM_002591
14645,AK122784; AW665656; AY947343; BM662182; DB317032; EU832658; X59834; NM_001033044; BC011700; BC018992; BQ637044; XM_006711278; AW954632; BC051726; CD688156; DA456371; DQ896609; S70290; Y00387; NM_002065; AI286093; AY513283; BC010037; BM690132; AL161952; BC031964; DA151535; ; AK092874; BC011852; BC127883; BG771732; DA322310; DQ893278; NM_001033056; AY486122; BF923451; EU832735; AI147221; AK301600; BI668874; BX537384; CD300750
66853,AK308435; AY894804; ; AF055000; HQ651812; KF833265; AJ278475; AJ278476; BC011958; KF601369; NM_020376; XM_006718265; AY203925; AL833707; XM_017018028; BC017280; JF279441; JF279442; KF833264; XM_006718266
98660,AB018321; AK314296; AL831991; BC052271; KU177928; AK295048; DA221602; M16795; AK126573; KU177927; AL831997; AY946014; ; AK308773; BC047533; AK091617; AK299460; Y07494; NM_000702; AK124581; AK295729; BC013680; EB386326
66945,L21936; XM_011514073; ; AB208991; AK094879; AK291311; AK295937; XM_011514072; AK131478; BC004328; DA160919; BC041016; NM_001330758; DQ402982; XM_017009685; AK302524; BC001380; CA427314; HY265959; XM_005248331; NM_001294332; AK131350; D30648; AK225027; NM_004168
11674,AK026577; BC004333; CB151262; X05236; NM_001127617; NM_001243177; AK098778; BC000367; FJ474908; XM_011545768; NM_001243175; BC012880; DA899482; XR_001751871; NM_184041; AK308495; BC015888; BE893518; BU855133; BX647566; D28356; DQ894246; EF036496; M21190; BC016170; BC016800; EF036497; M11560; NM_000034; BQ719865; DA893541; AK301993; BC010660; CR536528; CR541880; DA564075; DB057572; NM_184043; ; AK308748; BC013614; DA138954; DQ891065
104112,AK295675; BC006195; DB072009; NM_001303274; X64330; NM_001096; NM_198830; AK095084; XM_005257395; BG037168; XM_017024688; ; U18197; AB210035; AK304802; DQ575356; AK312315; JF432308; NM_001303275
18293,DQ891880; EU176648; AK296400; BC128550; DQ925674; XM_011515408; NM_001165036; NM_002541; ; AK314179; NM_001003941; AK293871; AK302805; BC009580; BM998792; DC401267; AI244565; AK304690; BC128549; AK294951; BU682361; D10523; XM_005249759; XM_005249761; BC004964; AK304439; AU140451; BC014617; DQ925673; HM005444
12974,AF047042; AK098177; BC010106; AK074956; AK296249; BC000105; ; AF147410; BX640838; AK293263; AK307625; DQ403132; AF053631; AL713477; BI553413; AK095856; BT007414; BI258893; CB990178; BC072016; NM_004077; NM_198324
11370,AK222518; AK302653; BP387474; X86556; XM_011523829; XR_934023; NM_001270447; AK058109; XR_934021; NM_001270448; AA643658; AK056956; BC000399; BC012912; BI822737; DA945553; D43682; NM_000018; ; AK056083; AK293549; AL536186; BC020218; XM_006721516; AK097243; XM_011523830; XR_934022; NM_001033859
100705,AK302469; XM_011538265; AB209110; XR_001748678; XR_001748679; AK302502; BC028417; CB269579; HG505159; XM_005253876; XM_011538259; XM_011538264; XR_944530; AY382667; BC172264; BC172569; XR_944531; XR_944532; AJ575431; AJ575592; AK307466; AY701053; U34591; U89344; XM_011538263; XM_017019252; NM_001093; ; R99037; XM_006719367; BC009753; CB269093; DB567934; DQ493870
67800,AI126704; AY780646; AY358532; CR749377; NM_032564; BC015234; DB462004; HQ448288; AL834287; AY780647; AB048286; NM_001253891; AB073384; AK074203; AK091870; ; AF384161; XM_011545304
11363,BC064549; DQ890785; NM_001608; AK296161; DQ893941; M74096; XM_005246517; ; DC350098; BC039063; XM_017003955; AK313498
97212,AK299258; AK313027; FJ626228; BC009235; NM_000182; ; DQ892776; GU727642; AI972144; AK302532; D16480; DQ896023; U04627; CN264228; AK293398
18746,AK309781; BC012811; BG490968; XR_001751314; NM_001206796; NM_001206797; AF025439; AK092369; AK308264; BC000481; BC007640; EU176742; AK294315; BC019265; BC094767; BX648597; EU794631; EU832358; NM_001316318; BC023592; BC035198; BC035487; BC096823; EU832443; Z36831; XM_005254445; ; BC007952; DC376054; XM_011521670; NM_002654; AK300800; AK312253; BC023328; DQ892739; AK299413; AK307855; NM_001206798; AK222927; AK297951; DA382029; DC326232; M23725; M26252; Z36786; XM_005254443; XM_006720570; XM_017022313; NM_001206799; NM_182470; NM_182471
231086,AF113209; AK095278; BC014572; BC017564; DA067388; XM_017003939; NM_001281513; BC066963; DA835045; DB477128; DQ892722; AK130072; AK293142; AK302322; BC030824; NM_000183; AK304455; DQ895971; XM_011532803; ; NM_001281512; AK314455; D16481
52538,AK054673; ; AK225457; BC001918; DQ896697; D16294; AK093311; DQ893376; NM_006111; AK314462
67426,AF218003; AK092784; BC129930; BX648860; XM_011544238; AI888739; AB073905; AK293571; XM_011544240; ; AK297735; AK300537; NM_020247; XM_005273201; AK074693; AK090494; AK126200; AK301012; AL137511; DA925261; XM_011544241; XM_017001852; AJ278126; BC005171; XM_011544239
